question,difficulty,topics,link,frequency,acceptance
Bulb Switcher,MEDIUM,"Math, Brainteaser",https://leetcode.com/problems/bulb-switcher,100.0,0.540826122720978
Happy Number,EASY,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number,99.0,0.580726470983853
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,95.7,0.557770016057161
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,92.0,0.5354071218159873
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,92.0,0.5525962294861477
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,85.8,0.5922453952673293
Rotate Array,MEDIUM,"Array, Math, Two Pointers",https://leetcode.com/problems/rotate-array,84.0,0.4302138810363553
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,79.9,0.6486630367350482
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,79.9,0.5209980487725024
Delete and Earn,MEDIUM,"Array, Hash Table, Dynamic Programming",https://leetcode.com/problems/delete-and-earn,79.9,0.5672788571185733
Sum of Values at Indices With K Set Bits,EASY,"Array, Bit Manipulation",https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,77.6,0.8574056118113935
Find Subsequence of Length K With the Largest Sum,EASY,"Array, Hash Table, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,77.6,0.4550501177444639
Maximum Area of Longest Diagonal Rectangle,EASY,Array,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,77.6,0.3654547482773711
Ant on the Boundary,EASY,"Array, Simulation, Prefix Sum",https://leetcode.com/problems/ant-on-the-boundary,77.6,0.7373794071215576
Count Tested Devices After Test Operations,EASY,"Array, Simulation, Counting",https://leetcode.com/problems/count-tested-devices-after-test-operations,77.6,0.7841276445923887
