question,difficulty,topics,link,frequency,acceptance
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,100.0,0.5577699165086937
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,79.0,0.4548305774598658
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,78.6,0.3707094094916058
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,77.0,0.4381460348224133
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,75.7,0.3693616958685081
Reverse Integer,MEDIUM,Math,https://leetcode.com/problems/reverse-integer,74.3,0.3030892269554824
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,72.2,0.6510194577693873
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,71.6,0.5291952521829845
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,70.5,0.4622507291808296
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,69.9,0.5354071840932856
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,68.6,0.7092883319407988
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,68.6,0.5922454353509216
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,66.6,0.4232282382087554
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,64.3,0.6035551873801481
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,64.3,0.5778283165036205
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,64.3,0.358461107628481
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,63.4,0.4305775328017951
Remove Element,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-element,63.4,0.600316358048653
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,62.6,0.6486627884371093
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,62.6,0.5393976057408939
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,61.7,0.6684088801523707
Set Matrix Zeroes,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/set-matrix-zeroes,59.7,0.6070884864800216
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,57.5,0.3947919786729132
Plus One,EASY,"Array, Math",https://leetcode.com/problems/plus-one,57.5,0.4754763031468927
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,56.3,0.7713286717803378
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,55.1,0.6385755061179695
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,55.1,0.7790165261990751
