question,difficulty,topics,link,frequency,acceptance
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,100.0,0.4814993566410409
Palindrome Pairs,HARD,"Array, Hash Table, String, Trie",https://leetcode.com/problems/palindrome-pairs,94.5,0.3624370777346535
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,94.5,0.5441735043380527
Flatten 2D Vector,MEDIUM,"Array, Two Pointers, Design, Iterator",https://leetcode.com/problems/flatten-2d-vector,89.9,0.5013489435679918
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,87.2,0.7467468656021409
Smallest Common Region,MEDIUM,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/smallest-common-region,84.1,0.679230513317286
Pour Water,MEDIUM,"Array, Simulation",https://leetcode.com/problems/pour-water,82.9,0.4789066150457245
Cheapest Flights Within K Stops,MEDIUM,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/cheapest-flights-within-k-stops,80.4,0.4039897286127686
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,80.4,0.6510194684590559
Alien Dictionary,HARD,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/alien-dictionary,80.4,0.3667370231009105
Sliding Puzzle,HARD,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix",https://leetcode.com/problems/sliding-puzzle,79.0,0.7313248932064185
Simple Bank System,MEDIUM,"Array, Hash Table, Design, Simulation",https://leetcode.com/problems/simple-bank-system,74.3,0.6142935665806328
Shortest Path to Get All Keys,HARD,"Array, Bit Manipulation, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-path-to-get-all-keys,74.3,0.537030042053839
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,74.3,0.4535070101132958
Employee Free Time,HARD,"Array, Line Sweep, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/employee-free-time,74.3,0.7259759595862569
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,72.4,0.4622508143957371
Word Search II,HARD,"Array, String, Backtracking, Trie, Matrix",https://leetcode.com/problems/word-search-ii,72.4,0.3732633211647155
