question,difficulty,topics,link,frequency,acceptance
Delete and Earn,MEDIUM,"Array, Hash Table, Dynamic Programming",https://leetcode.com/problems/delete-and-earn,100.0,0.567278666509901
Minimum Initial Energy to Finish Tasks,HARD,"Array, Greedy, Sorting",https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,100.0,0.5934432893896278
Dice Roll Simulation,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/dice-roll-simulation,97.6,0.5000364341198246
Number of Operations to Make Network Connected,MEDIUM,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/number-of-operations-to-make-network-connected,97.6,0.6466485432011189
Map Sum Pairs,MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/map-sum-pairs,97.6,0.5674795970692788
Increasing Decreasing String,EASY,"Hash Table, String, Counting",https://leetcode.com/problems/increasing-decreasing-string,97.6,0.7675577861995971
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,97.6,0.3786948581341589
Network Delay Time,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/network-delay-time,97.6,0.5744231558987412
Create Sorted Array through Instructions,HARD,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",https://leetcode.com/problems/create-sorted-array-through-instructions,97.6,0.4009930951005474
Can Make Palindrome from Substring,MEDIUM,"Array, Hash Table, String, Bit Manipulation, Prefix Sum",https://leetcode.com/problems/can-make-palindrome-from-substring,97.6,0.4022578431984033
Constrained Subsequence Sum,HARD,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/constrained-subsequence-sum,97.6,0.5639922109640583
Reduce Array Size to The Half,MEDIUM,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/reduce-array-size-to-the-half,97.6,0.6911509173608628
Minimum Number of Taps to Open to Water a Garden,HARD,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,97.6,0.5071699397238966
Number of Different Subsequences GCDs,HARD,"Array, Math, Counting, Number Theory",https://leetcode.com/problems/number-of-different-subsequences-gcds,97.6,0.4196167206588345
Count and Say,MEDIUM,String,https://leetcode.com/problems/count-and-say,88.8,0.6050661563309271
Minimum Processing Time,MEDIUM,"Array, Greedy, Sorting",https://leetcode.com/problems/minimum-processing-time,67.7,0.6925539605494165
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,67.7,0.6232009446678927
Maximum Star Sum of a Graph,MEDIUM,"Array, Greedy, Graph, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-star-sum-of-a-graph,67.7,0.4082906207900401
Distance to a Cycle in Undirected Graph,HARD,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph,57.7,0.7293038570084666
Flood Fill,EASY,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/flood-fill,57.7,0.6647640296665365
Sort Array by Increasing Frequency,EASY,"Array, Hash Table, Sorting",https://leetcode.com/problems/sort-array-by-increasing-frequency,57.7,0.802688099698792
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,57.7,0.5441721752315967
Critical Connections in a Network,HARD,"Depth-First Search, Graph, Biconnected Component",https://leetcode.com/problems/critical-connections-in-a-network,57.7,0.5779132199611556
