question,difficulty,topics,link,frequency,acceptance
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,100.0,0.5577698896587009
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,85.9,0.6510192881379091
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,82.6,0.3693616809460174
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,81.4,0.5291952052651709
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,78.9,0.7092880631912374
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,77.9,0.4622507658063209
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,77.7,0.4232281667216221
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,77.1,0.3584611475412551
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,76.7,0.3707095105098775
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,75.8,0.4939526774846352
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,75.3,0.4381459000864632
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,75.1,0.5778282574410597
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,71.4,0.567741907864408
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,71.1,0.5209977771112393
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,70.8,0.4548305505260665
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,69.8,0.5354071346208594
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,69.8,0.3947920375919359
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,68.6,0.7713286717803378
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,68.2,0.6385756647080152
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,67.2,0.5393973501075863
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,67.1,0.4283722138743466
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,66.9,0.5922455404045137
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,66.1,0.6486626948713667
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,66.0,0.6684091757223755
