question,difficulty,topics,link,frequency,acceptance
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,100.0,0.5577699312007911
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,78.3,0.369361731848269
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,77.6,0.4548305143026601
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,76.9,0.4232282567926559
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,75.8,0.4381459158602527
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,74.2,0.4939527547797844
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,74.2,0.7092882244410338
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,73.8,0.5291951450619177
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,73.0,0.6510193782985645
Reverse Integer,MEDIUM,Math,https://leetcode.com/problems/reverse-integer,71.6,0.3030891755388865
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,71.6,0.6227675793740958
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,70.1,0.5354071840932856
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,68.5,0.3584610815859256
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,68.0,0.5922454522673172
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,67.4,0.7790164518819447
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,67.4,0.5393973501075863
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,66.8,0.4622507658063209
