question,difficulty,topics,link,frequency,acceptance
Restore IP Addresses,MEDIUM,"String, Backtracking",https://leetcode.com/problems/restore-ip-addresses,100.0,0.5315843132324689
Construct String With Repeat Limit,MEDIUM,"Hash Table, String, Greedy, Heap (Priority Queue), Counting",https://leetcode.com/problems/construct-string-with-repeat-limit,100.0,0.7087761359183014
Find the Town Judge,EASY,"Array, Hash Table, Graph",https://leetcode.com/problems/find-the-town-judge,97.6,0.500057919960555
Reverse Nodes in k-Group,HARD,"Linked List, Recursion",https://leetcode.com/problems/reverse-nodes-in-k-group,94.9,0.6304370910860896
Reverse Linked List II,MEDIUM,Linked List,https://leetcode.com/problems/reverse-linked-list-ii,94.9,0.4959178278493805
Reorder List,MEDIUM,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/reorder-list,88.6,0.6250484291087256
Contains Duplicate II,EASY,"Array, Hash Table, Sliding Window",https://leetcode.com/problems/contains-duplicate-ii,80.2,0.4905006510068311
Inorder Successor in BST II,MEDIUM,"Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/inorder-successor-in-bst-ii,80.2,0.6100172051233034
Rotated Digits,MEDIUM,"Math, Dynamic Programming",https://leetcode.com/problems/rotated-digits,80.2,0.5642771951080989
Remove Linked List Elements,EASY,"Linked List, Recursion",https://leetcode.com/problems/remove-linked-list-elements,74.5,0.5192129307896375
Inorder Successor in BST,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/inorder-successor-in-bst,74.5,0.5066782117122497
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,74.5,0.4283724679402803
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,74.5,0.452147872132123
Maximum Depth of Binary Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-depth-of-binary-tree,67.3,0.7713814289513273
Binary Tree Maximum Path Sum,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum,67.3,0.4122433593303508
Moving Average from Data Stream,EASY,"Array, Design, Queue, Data Stream",https://leetcode.com/problems/moving-average-from-data-stream,67.3,0.7993791280727699
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,67.3,0.6684092096528712
Missing Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/missing-element-in-sorted-array,67.3,0.587648801207176
Maximum Units on a Truck,EASY,"Array, Greedy, Sorting",https://leetcode.com/problems/maximum-units-on-a-truck,67.3,0.7425030722517598
Course Schedule II,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule-ii,67.3,0.5342352813503375
Missing Number,EASY,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",https://leetcode.com/problems/missing-number,67.3,0.7006523825461364
Search a 2D Matrix,MEDIUM,"Array, Binary Search, Matrix",https://leetcode.com/problems/search-a-2d-matrix,57.2,0.5228975227583975
Path Sum II,MEDIUM,"Backtracking, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/path-sum-ii,57.2,0.6049805434598319
Kth Missing Positive Number,EASY,"Array, Binary Search",https://leetcode.com/problems/kth-missing-positive-number,57.2,0.6228373866165937
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,57.2,0.6861927660217834
Top K Frequent Elements,MEDIUM,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",https://leetcode.com/problems/top-k-frequent-elements,57.2,0.6456599321322268
Longest Common Subsequence,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/longest-common-subsequence,57.2,0.5824937084403783
Remove All Occurrences of a Substring,MEDIUM,"String, Stack, Simulation",https://leetcode.com/problems/remove-all-occurrences-of-a-substring,57.2,0.7806968639516182
Merge In Between Linked Lists,MEDIUM,Linked List,https://leetcode.com/problems/merge-in-between-linked-lists,57.2,0.8230338483909592
Contains Duplicate,EASY,"Array, Hash Table, Sorting",https://leetcode.com/problems/contains-duplicate,57.2,0.6323638098362575
Validate Binary Search Tree,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/validate-binary-search-tree,57.2,0.343804497944244
Palindromic Substrings,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/palindromic-substrings,57.2,0.7167833037388524
Find the Winner of the Circular Game,MEDIUM,"Array, Math, Recursion, Queue, Simulation",https://leetcode.com/problems/find-the-winner-of-the-circular-game,57.2,0.8206653804804053
Kth Largest Element in a Stream,EASY,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream",https://leetcode.com/problems/kth-largest-element-in-a-stream,57.2,0.5985310691115552
Flatten a Multilevel Doubly Linked List,MEDIUM,"Linked List, Depth-First Search, Doubly-Linked List",https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,57.2,0.6131219516943955
Implement Trie (Prefix Tree),MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/implement-trie-prefix-tree,57.2,0.679349409041436
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,57.2,0.5525963982253373
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,57.2,0.4526701296840141
