question,difficulty,topics,link,frequency,acceptance
Rank Teams by Votes,MEDIUM,"Array, Hash Table, String, Sorting, Counting",https://leetcode.com/problems/rank-teams-by-votes,100.0,0.5940446839336095
Design Snake Game,MEDIUM,"Array, Hash Table, Design, Queue, Simulation",https://leetcode.com/problems/design-snake-game,88.4,0.3968485567576451
Stock Price Fluctuation ,MEDIUM,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set",https://leetcode.com/problems/stock-price-fluctuation,86.6,0.4816387154783381
All O`one Data Structure,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/all-oone-data-structure,77.2,0.4413477976145218
High-Access Employees,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/high-access-employees,71.2,0.4612636964811507
Logger Rate Limiter,EASY,"Hash Table, Design, Data Stream",https://leetcode.com/problems/logger-rate-limiter,71.2,0.766103057053701
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,61.9,0.4939526848741133
Maximum Good Subarray Sum,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/maximum-good-subarray-sum,58.7,0.2028196432101957
Minimum Cost to Convert String I,MEDIUM,"Array, String, Graph, Shortest Path",https://leetcode.com/problems/minimum-cost-to-convert-string-i,58.7,0.5755714079298737
Minimum Cost to Convert String II,HARD,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path",https://leetcode.com/problems/minimum-cost-to-convert-string-ii,58.7,0.2553901437371663
Maximum Square Area by Removing Fences From a Field,MEDIUM,"Array, Hash Table, Enumeration",https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,58.7,0.2410700053616195
Meeting Rooms II,MEDIUM,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/meeting-rooms-ii,58.7,0.5214164447683243
Maximum Area of Longest Diagonal Rectangle,EASY,Array,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,58.7,0.3654547482773711
Number of Possible Sets of Closing Branches,HARD,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path",https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,58.7,0.4844893500819224
Verbal Arithmetic Puzzle,HARD,"Array, Math, String, Backtracking",https://leetcode.com/problems/verbal-arithmetic-puzzle,58.7,0.3477800583342335
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,58.7,0.3786948581341589
Smallest Missing Non-negative Integer After Operations,MEDIUM,"Array, Hash Table, Math, Greedy",https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,58.7,0.3987738925814309
Make Lexicographically Smallest Array by Swapping Elements,MEDIUM,"Array, Union Find, Sorting",https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,58.7,0.6026879026047842
Minimum Time to Visit a Cell In a Grid,HARD,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,58.7,0.568054168958796
Find the Width of Columns of a Grid,EASY,"Array, Matrix",https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,58.7,0.693232244841104
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,56.8,0.7092883082997726
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,56.8,0.4814993566410409
Design File System,MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/design-file-system,56.8,0.6413755041392486
Longest String Chain,MEDIUM,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",https://leetcode.com/problems/longest-string-chain,56.8,0.6201512673699018
Longest Increasing Subsequence,MEDIUM,"Array, Binary Search, Dynamic Programming",https://leetcode.com/problems/longest-increasing-subsequence,54.6,0.5780836795005291
