question,difficulty,topics,link,frequency,acceptance
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,100.0,0.557769945892896
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,85.7,0.4939526774846352
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,85.7,0.4622507658063209
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,83.9,0.3693616884072647
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,83.1,0.4232282170474687
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,81.4,0.5291951450619177
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,79.1,0.6510192988277056
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,78.8,0.3707095218721556
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,77.4,0.4381458442193333
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,77.2,0.3584611145635873
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,75.1,0.5209978267392302
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,75.1,0.6035551112882038
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,74.8,0.4548305595040032
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,74.5,0.5922454691837191
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,74.2,0.4526692626904781
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,73.6,0.6486627416542443
Reverse Integer,MEDIUM,Math,https://leetcode.com/problems/reverse-integer,72.7,0.3030891979001635
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,72.1,0.5778282574410597
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,70.7,0.4283722138743466
Subsets,MEDIUM,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets,70.0,0.808795565390318
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,69.6,0.6684091757223755
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,68.1,0.4305772664998175
Validate Binary Search Tree,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/validate-binary-search-tree,67.3,0.3438038788666115
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,66.9,0.7713286717803378
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,66.9,0.7092882244410338
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,65.6,0.7790164518819447
"Pow(x, n)",MEDIUM,"Math, Recursion",https://leetcode.com/problems/powx-n,64.6,0.3702317602905621
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,64.2,0.5354071257240982
Remove Element,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-element,63.7,0.600316358048653
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,62.1,0.3947919786729132
Sqrt(x),EASY,"Math, Binary Search",https://leetcode.com/problems/sqrtx,61.6,0.4037178718652037
Binary Tree Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-level-order-traversal,61.0,0.7059658947038693
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,59.8,0.567741907864408
Find the Index of the First Occurrence in a String,EASY,"Two Pointers, String, String Matching",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,59.8,0.449716000865219
Unique Paths,MEDIUM,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/unique-paths,59.8,0.6577283527258664
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,59.8,0.4682873183580639
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,57.9,0.5393973501075863
Set Matrix Zeroes,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/set-matrix-zeroes,57.2,0.6070883209364217
4Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/4sum,57.2,0.3821902011379304
String to Integer (atoi),MEDIUM,String,https://leetcode.com/problems/string-to-integer-atoi,57.2,0.1922942349527772
Swap Nodes in Pairs,MEDIUM,"Linked List, Recursion",https://leetcode.com/problems/swap-nodes-in-pairs,55.0,0.6720136828647639
3Sum Closest,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum-closest,55.0,0.468869600214817
Search Insert Position,EASY,"Array, Binary Search",https://leetcode.com/problems/search-insert-position,54.2,0.4901241638473952
Binary Tree Zigzag Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,53.4,0.6168283891746636
Jump Game II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game-ii,53.4,0.4150331235291809
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,53.4,0.8066011364163758
Search a 2D Matrix,MEDIUM,"Array, Binary Search, Matrix",https://leetcode.com/problems/search-a-2d-matrix,52.6,0.5228957258337302
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,52.6,0.6758312948649591
Construct Binary Tree from Preorder and Inorder Traversal,MEDIUM,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,52.6,0.6683774773521286
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,52.6,0.7467467920803577
Reverse Nodes in k-Group,HARD,"Linked List, Recursion",https://leetcode.com/problems/reverse-nodes-in-k-group,51.6,0.6304374335039493
Add Binary,EASY,"Math, String, Bit Manipulation, Simulation",https://leetcode.com/problems/add-binary,51.6,0.5567701348180015
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,51.6,0.2928013101016923
Same Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/same-tree,50.7,0.651268811570624
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,50.7,0.6385756647080152
Symmetric Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/symmetric-tree,50.7,0.5927867908424697
Zigzag Conversion,MEDIUM,String,https://leetcode.com/problems/zigzag-conversion,49.7,0.5160676713980508
Maximum Depth of Binary Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-depth-of-binary-tree,48.7,0.7713813520613833
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,48.7,0.6227675793740958
Plus One,EASY,"Array, Math",https://leetcode.com/problems/plus-one,48.7,0.4754762109513449
Remove Nth Node From End of List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/remove-nth-node-from-end-of-list,47.6,0.4896103052563428
Largest Rectangle in Histogram,HARD,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/largest-rectangle-in-histogram,47.6,0.4737765317407914
Remove Duplicates from Sorted List,EASY,Linked List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,47.6,0.5487080353115535
Rotate List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/rotate-list,47.6,0.3994476047394924
Combination Sum II,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum-ii,46.4,0.5767453180420465
Sudoku Solver,HARD,"Array, Hash Table, Backtracking, Matrix",https://leetcode.com/problems/sudoku-solver,46.4,0.6390871778033164
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,46.4,0.4108465766394882
Remove Duplicates from Sorted Array II,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,45.1,0.6290182512570529
Divide Two Integers,MEDIUM,"Math, Bit Manipulation",https://leetcode.com/problems/divide-two-integers,45.1,0.1839697508503305
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,45.1,0.6861931275088928
Unique Paths II,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/unique-paths-ii,45.1,0.4315436499772203
Length of Last Word,EASY,String,https://leetcode.com/problems/length-of-last-word,45.1,0.5631926999044908
Subsets II,MEDIUM,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets-ii,43.8,0.595072748658621
Wildcard Matching,HARD,"String, Dynamic Programming, Greedy, Recursion",https://leetcode.com/problems/wildcard-matching,43.8,0.2989833857244126
Edit Distance,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/edit-distance,42.4,0.5878974125922288
N-Queens,HARD,"Array, Backtracking",https://leetcode.com/problems/n-queens,42.4,0.7281704967757537
Reverse Linked List II,MEDIUM,Linked List,https://leetcode.com/problems/reverse-linked-list-ii,40.8,0.49591736647057
Remove Duplicates from Sorted List II,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,40.8,0.4989080936318432
Longest Valid Parentheses,HARD,"String, Dynamic Programming, Stack",https://leetcode.com/problems/longest-valid-parentheses,39.2,0.3631311456770452
Simplify Path,MEDIUM,"String, Stack",https://leetcode.com/problems/simplify-path,39.2,0.4785432317744196
Insert Interval,MEDIUM,Array,https://leetcode.com/problems/insert-interval,39.2,0.4347362871417847
Partition List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/partition-list,35.4,0.5898677373641946
Permutations II,MEDIUM,"Array, Backtracking, Sorting",https://leetcode.com/problems/permutations-ii,35.4,0.615917727605333
Multiply Strings,MEDIUM,"Math, String, Simulation",https://leetcode.com/problems/multiply-strings,35.4,0.4228941429852704
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,35.4,0.4535073359144813
Maximal Rectangle,HARD,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",https://leetcode.com/problems/maximal-rectangle,33.1,0.5370845822665518
Binary Tree Inorder Traversal,EASY,"Stack, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-inorder-traversal,33.1,0.7858399541084903
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,30.6,0.4814988999917213
Search in Rotated Sorted Array II,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array-ii,30.6,0.3887965146188378
Count and Say,MEDIUM,String,https://leetcode.com/problems/count-and-say,27.8,0.6050656775612677
Minimum Path Sum,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimum-path-sum,27.8,0.664814934885504
Recover Binary Search Tree,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/recover-binary-search-tree,27.8,0.5632431226781013
Combinations,MEDIUM,Backtracking,https://leetcode.com/problems/combinations,27.8,0.7289648238875795
Substring with Concatenation of All Words,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/substring-with-concatenation-of-all-words,24.5,0.3299749970274807
Decode Ways,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/decode-ways,24.5,0.3653100108233205
Unique Binary Search Trees II,MEDIUM,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/unique-binary-search-trees-ii,20.6,0.6039807221122715
N-Queens II,HARD,Backtracking,https://leetcode.com/problems/n-queens-ii,20.6,0.7672955295381376
Unique Binary Search Trees,MEDIUM,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/unique-binary-search-trees,20.6,0.6244520536210353
Gray Code,MEDIUM,"Math, Backtracking, Bit Manipulation",https://leetcode.com/problems/gray-code,15.8,0.6187231456205623
Spiral Matrix II,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix-ii,10.1,0.734312719680276
