question,difficulty,topics,link,frequency,acceptance
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,100.0,0.4521462265150519
Smallest Subsequence of Distinct Characters,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,89.5,0.6196004562783298
Remove Duplicate Letters,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-duplicate-letters,87.2,0.5135095841552992
First Day Where You Have Been in All the Rooms,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,87.2,0.397044607098467
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,84.6,0.6231996817686392
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,78.6,0.4923438319494471
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,74.9,0.3693616230386026
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,74.9,0.7467470164230636
Basic Calculator II,MEDIUM,"Math, String, Stack",https://leetcode.com/problems/basic-calculator-ii,70.5,0.4581138691872612
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,70.5,0.67977013748146
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,70.5,0.2928016951876336
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,65.1,0.5577699507046988
Shortest Distance from All Buildings,HARD,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-distance-from-all-buildings,65.1,0.4437276667084348
House Robber II,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber-ii,65.1,0.4356271757478365
House Robber,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber,65.1,0.5230498170963667
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,65.1,0.4704083446690277
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,65.1,0.4939524603785574
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,65.1,0.6510196274004795
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,65.1,0.4283721634234836
Longest Common Subsequence,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/longest-common-subsequence,58.2,0.5824940313622117
Rotting Oranges,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/rotting-oranges,58.2,0.5661839890477366
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,58.2,0.5525962159456385
Top K Frequent Elements,MEDIUM,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",https://leetcode.com/problems/top-k-frequent-elements,58.2,0.6456597904229384
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,58.2,0.4622509481999829
Maximal Square,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximal-square,58.2,0.4876133314788993
Combination Sum II,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum-ii,58.2,0.5767450173247776
Basic Calculator,HARD,"Math, String, Stack, Recursion",https://leetcode.com/problems/basic-calculator,58.2,0.4558952441079352
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,58.2,0.5499185329837445
Subarray Sum Equals K,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sum-equals-k,58.2,0.4547621062131595
Sum Game,MEDIUM,"Math, String, Greedy, Game Theory",https://leetcode.com/problems/sum-game,58.2,0.4840779387431195
