question,difficulty,topics,link,frequency,acceptance
Simple Bank System,MEDIUM,"Array, Hash Table, Design, Simulation",https://leetcode.com/problems/simple-bank-system,100.0,0.6142935665806328
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,92.8,0.5393976057408939
Block Placement Queries,HARD,"Array, Binary Search, Binary Indexed Tree, Segment Tree",https://leetcode.com/problems/block-placement-queries,92.0,0.168902023187088
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,82.9,0.4814993566410409
Minimum Operations to Write the Letter Y on a Grid,MEDIUM,"Array, Hash Table, Matrix, Counting",https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,81.6,0.6194290206869442
Candy Crush,MEDIUM,"Array, Two Pointers, Matrix, Simulation",https://leetcode.com/problems/candy-crush,75.3,0.7736899161778655
Count Alternating Subarrays,MEDIUM,"Array, Math",https://leetcode.com/problems/count-alternating-subarrays,75.3,0.5631657997941757
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,73.4,0.7790165261990751
Four Divisors,MEDIUM,"Array, Math",https://leetcode.com/problems/four-divisors,73.4,0.4481659161589702
Simplify Path,MEDIUM,"String, Stack",https://leetcode.com/problems/simplify-path,71.2,0.4785434600375143
Count Operations to Obtain Zero,EASY,"Math, Simulation",https://leetcode.com/problems/count-operations-to-obtain-zero,71.2,0.7488952285059014
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,MEDIUM,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,68.9,0.5675056206933196
Split Message Based on Limit,HARD,"String, Binary Search, Enumeration",https://leetcode.com/problems/split-message-based-on-limit,68.9,0.4261603375527427
Rotating the Box,MEDIUM,"Array, Two Pointers, Matrix",https://leetcode.com/problems/rotating-the-box,66.1,0.7909813050714205
Number of Black Blocks,MEDIUM,"Array, Hash Table, Enumeration",https://leetcode.com/problems/number-of-black-blocks,63.0,0.3861547271028601
