question,difficulty,topics,link,frequency,acceptance
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,100.0,0.3584612708187535
Predict the Winner,MEDIUM,"Array, Math, Dynamic Programming, Recursion, Game Theory",https://leetcode.com/problems/predict-the-winner,98.1,0.5574273878146738
House Robber,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber,98.1,0.5230498170963667
Lucky Numbers in a Matrix,EASY,"Array, Matrix",https://leetcode.com/problems/lucky-numbers-in-a-matrix,84.8,0.7990618901629731
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,84.8,0.7790166005161556
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,84.1,0.539397306376751
Fizz Buzz,EASY,"Math, String, Simulation",https://leetcode.com/problems/fizz-buzz,69.8,0.7437057263879774
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,66.8,0.4521462265150519
Snakes and Ladders,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/snakes-and-ladders,66.8,0.4779534713832989
Number of Valid Words in a Sentence,EASY,String,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,66.8,0.2999482504677361
Find Third Transaction,MEDIUM,Database,https://leetcode.com/problems/find-third-transaction,65.1,0.5385959339263025
Maximum Difference Between Increasing Elements,EASY,Array,https://leetcode.com/problems/maximum-difference-between-increasing-elements,65.1,0.6610071637601134
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,65.1,0.4939524603785574
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,63.2,0.5209980574746715
Implement Router,MEDIUM,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set",https://leetcode.com/problems/implement-router,63.2,0.2178262846748522
Find the Largest Area of Square Inside Two Rectangles,MEDIUM,"Array, Math, Geometry",https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,63.2,0.4506096668270135
Minimum Cost to Make Array Equal,HARD,"Array, Binary Search, Greedy, Sorting, Prefix Sum",https://leetcode.com/problems/minimum-cost-to-make-array-equal,63.2,0.4632379781368273
Word Search II,HARD,"Array, String, Backtracking, Trie, Matrix",https://leetcode.com/problems/word-search-ii,63.2,0.3732633211647155
Number of Equal Count Substrings,MEDIUM,"Hash Table, String, Sliding Window, Counting",https://leetcode.com/problems/number-of-equal-count-substrings,63.2,0.4466388150398784
Sum of k-Mirror Numbers,HARD,"Math, Enumeration",https://leetcode.com/problems/sum-of-k-mirror-numbers,63.2,0.4198277164878343
Check if Binary String Has at Most One Segment of Ones,EASY,String,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,63.2,0.3902918338056159
Max Points on a Line,HARD,"Array, Hash Table, Math, Geometry",https://leetcode.com/problems/max-points-on-a-line,58.9,0.2895514653845652
Happy Number,EASY,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number,58.9,0.5807266994292708
Stone Game,MEDIUM,"Array, Math, Dynamic Programming, Game Theory",https://leetcode.com/problems/stone-game,58.9,0.7160996447704545
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,58.9,0.5577699543777228
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,56.3,0.3786948581341589
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,56.3,0.4232284209279414
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,56.3,0.6510196274004795
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,53.2,0.3693616410284584
Linked List Cycle,EASY,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle,49.7,0.5257065321652596
Decode String,MEDIUM,"String, Stack, Recursion",https://leetcode.com/problems/decode-string,49.7,0.6115249906697672
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,49.7,0.5525961777147723
Remove Boxes,HARD,"Array, Dynamic Programming, Memoization",https://leetcode.com/problems/remove-boxes,49.7,0.4829246222061351
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,49.7,0.5291952521829845
Strange Printer,HARD,"String, Dynamic Programming",https://leetcode.com/problems/strange-printer,45.3,0.6077822803097354
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,45.3,0.4704081523329022
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,45.3,0.638575527047244
Move Zeroes,EASY,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes,45.3,0.628040301372497
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,45.3,0.3707096275058028
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,45.3,0.7920656598058967
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,45.3,0.6231996817686392
Search a 2D Matrix,MEDIUM,"Array, Binary Search, Matrix",https://leetcode.com/problems/search-a-2d-matrix,45.3,0.5228958306958686
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,39.8,0.452669635264123
Gas Station,MEDIUM,"Array, Greedy",https://leetcode.com/problems/gas-station,39.8,0.4638364017952925
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,39.8,0.6035554917476331
Meeting Rooms II,MEDIUM,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/meeting-rooms-ii,39.8,0.5214164447683243
Valid Palindrome,EASY,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome,39.8,0.5096353524593524
