question,difficulty,topics,link,frequency,acceptance
Longest Non-decreasing Subarray From Two Arrays,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,100.0,0.2981855832758111
Binary Tree Maximum Path Sum,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum,98.7,0.4122426484532653
Delete and Earn,MEDIUM,"Array, Hash Table, Dynamic Programming",https://leetcode.com/problems/delete-and-earn,93.4,0.5672788571185733
Minimum Knight Moves,MEDIUM,Breadth-First Search,https://leetcode.com/problems/minimum-knight-moves,93.4,0.4132915677780459
Palindromic Substrings,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/palindromic-substrings,86.5,0.7167859571435372
Sliding Window Maximum,HARD,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum,85.3,0.4760417141782024
Count Palindromic Subsequences,HARD,"String, Dynamic Programming",https://leetcode.com/problems/count-palindromic-subsequences,81.3,0.3930934242181234
Minimum Equal Sum of Two Arrays After Replacing Zeros,MEDIUM,"Array, Greedy",https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,79.8,0.5016214325632321
LFU Cache,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lfu-cache,79.8,0.4660898637811462
Minimum Operations to Make Numbers Non-positive,HARD,"Array, Binary Search",https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,78.1,0.4220088242927589
Number of Good Binary Strings,MEDIUM,Dynamic Programming,https://leetcode.com/problems/number-of-good-binary-strings,76.4,0.5249371022643184
Maximum Total Damage With Spell Casting,MEDIUM,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting",https://leetcode.com/problems/maximum-total-damage-with-spell-casting,76.4,0.2774327122153209
Maximum Length of Repeated Subarray,MEDIUM,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function",https://leetcode.com/problems/maximum-length-of-repeated-subarray,74.4,0.5101333414238255
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,74.4,0.4521457621314454
Minimum Costs Using the Train Line,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/minimum-costs-using-the-train-line,74.4,0.7759452936444088
Best Position for a Service Centre,HARD,"Array, Math, Geometry, Randomized",https://leetcode.com/problems/best-position-for-a-service-centre,74.4,0.3487944380444229
Evaluate Division,MEDIUM,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",https://leetcode.com/problems/evaluate-division,72.3,0.6314695091079937
First Completely Painted Row or Column,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/first-completely-painted-row-or-column,72.3,0.6392151838043829
Longest String Chain,MEDIUM,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",https://leetcode.com/problems/longest-string-chain,70.0,0.6201512673699018
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,70.0,0.4939525284365195
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,67.4,0.5525965329429721
Serialize and Deserialize Binary Tree,HARD,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",https://leetcode.com/problems/serialize-and-deserialize-binary-tree,67.4,0.5896946953630543
Find the Duplicate Number,MEDIUM,"Array, Two Pointers, Binary Search, Bit Manipulation",https://leetcode.com/problems/find-the-duplicate-number,67.4,0.6283577384693005
Evaluate Reverse Polish Notation,MEDIUM,"Array, Math, Stack",https://leetcode.com/problems/evaluate-reverse-polish-notation,64.5,0.5495024017596329
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,64.5,0.54991878709743
Sudoku Solver,HARD,"Array, Hash Table, Backtracking, Matrix",https://leetcode.com/problems/sudoku-solver,61.1,0.6390866531877745
Length of Longest Subarray With at Most K Frequency,MEDIUM,"Array, Hash Table, Sliding Window",https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,61.1,0.5577122271225969
Parallel Courses III,HARD,"Array, Dynamic Programming, Graph, Topological Sort",https://leetcode.com/problems/parallel-courses-iii,61.1,0.6674963944974485
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,61.1,0.6231992538801062
Couples Holding Hands,HARD,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/couples-holding-hands,57.1,0.5839613387880093
Find Median from Data Stream,HARD,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/find-median-from-data-stream,57.1,0.5327813617707072
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,57.1,0.7092882008000586
Validate Binary Search Tree,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/validate-binary-search-tree,57.1,0.3438040355108531
Meeting Scheduler,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/meeting-scheduler,57.1,0.5522977372018112
Employee Free Time,HARD,"Array, Line Sweep, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/employee-free-time,57.1,0.7259759595862569
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,57.1,0.5677420052593406
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,57.1,0.8066012553007272
Robot Room Cleaner,HARD,"Backtracking, Interactive",https://leetcode.com/problems/robot-room-cleaner,57.1,0.7752279751307165
Binary Tree Zigzag Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,52.2,0.6168283891746636
Design Search Autocomplete System,HARD,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/design-search-autocomplete-system,52.2,0.4940635941634056
N-Queens,HARD,"Array, Backtracking",https://leetcode.com/problems/n-queens,52.2,0.7281708939408218
Fizz Buzz,EASY,"Math, String, Simulation",https://leetcode.com/problems/fizz-buzz,52.2,0.7437057263879774
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,52.2,0.6950026730452624
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,52.2,0.2928011632862837
Best Time to Buy and Sell Stock III,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,52.2,0.5112077786505705
Search Suggestions System,MEDIUM,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/search-suggestions-system,52.2,0.6505026464247127
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,52.2,0.7467468656021409
Design Circular Queue,MEDIUM,"Array, Linked List, Design, Queue",https://leetcode.com/problems/design-circular-queue,52.2,0.5264418953615425
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,52.2,0.6510193095174875
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,45.9,0.4526693801123823
Design Excel Sum Formula,HARD,"Array, Hash Table, String, Graph, Design, Topological Sort, Matrix",https://leetcode.com/problems/design-excel-sum-formula,45.9,0.4256816329246585
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,45.9,0.5354071662997495
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,45.9,0.6385753475280027
