question,difficulty,topics,link,frequency,acceptance
Simple Bank System,MEDIUM,"Array, Hash Table, Design, Simulation",https://leetcode.com/problems/simple-bank-system,100.0,0.6142935665806328
Zigzag Iterator,MEDIUM,"Array, Design, Queue, Iterator",https://leetcode.com/problems/zigzag-iterator,96.4,0.6575715893460048
Time Based Key-Value Store,MEDIUM,"Hash Table, String, Binary Search, Design",https://leetcode.com/problems/time-based-key-value-store,90.4,0.493663464237889
Decode the Message,EASY,"Hash Table, String",https://leetcode.com/problems/decode-the-message,88.6,0.8541555470834922
Design In-Memory File System,HARD,"Hash Table, String, Design, Trie, Sorting",https://leetcode.com/problems/design-in-memory-file-system,84.4,0.4816948941663167
Design File System,MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/design-file-system,67.5,0.6413755041392486
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,61.5,0.4814993566410409
Check if There is a Valid Partition For The Array,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array,61.5,0.5196995580140459
Random Pick with Weight,MEDIUM,"Array, Math, Binary Search, Prefix Sum, Randomized",https://leetcode.com/problems/random-pick-with-weight,61.5,0.4827844806841818
Number of Orders in the Backlog,MEDIUM,"Array, Heap (Priority Queue), Simulation",https://leetcode.com/problems/number-of-orders-in-the-backlog,53.1,0.5196292359051828
Evaluate Division,MEDIUM,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",https://leetcode.com/problems/evaluate-division,53.1,0.6314707708462682
Find the Length of the Longest Common Prefix,MEDIUM,"Array, Hash Table, String, Trie",https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,53.1,0.564161205458434
