question,difficulty,topics,link,frequency,acceptance
Subsets,MEDIUM,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets,100.0,0.8087961776912436
Word Break,MEDIUM,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",https://leetcode.com/problems/word-break,100.0,0.4827378020649074
Decode String,MEDIUM,"String, Stack, Recursion",https://leetcode.com/problems/decode-string,98.0,0.6115254553566836
Longest Substring with At Most K Distinct Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,95.8,0.4949640081035646
LFU Cache,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lfu-cache,95.8,0.4660898637811462
Range Module,HARD,"Design, Segment Tree, Ordered Set",https://leetcode.com/problems/range-module,93.4,0.4419888641888101
Split BST,MEDIUM,"Tree, Binary Search Tree, Recursion, Binary Tree",https://leetcode.com/problems/split-bst,93.4,0.8241178043129567
Find Pivot Index,EASY,"Array, Prefix Sum",https://leetcode.com/problems/find-pivot-index,93.4,0.6057034999062264
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,93.4,0.4521468069934531
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,90.7,0.4923440720817781
Design In-Memory File System,HARD,"Hash Table, String, Design, Trie, Sorting",https://leetcode.com/problems/design-in-memory-file-system,90.7,0.4816948941663167
Unique Paths II,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/unique-paths-ii,80.5,0.4315424243087263
Design Twitter,MEDIUM,"Hash Table, Linked List, Design, Heap (Priority Queue)",https://leetcode.com/problems/design-twitter,80.5,0.4265238051053148
Possible Bipartition,MEDIUM,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/possible-bipartition,75.9,0.5150773648728767
Shopping Offers,MEDIUM,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",https://leetcode.com/problems/shopping-offers,75.9,0.5190263317700597
Longest Repeating Substring,MEDIUM,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function",https://leetcode.com/problems/longest-repeating-substring,75.9,0.6306457934659812
Unique Paths,MEDIUM,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/unique-paths,75.9,0.6577290213473723
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,75.9,0.2928019029725673
Find K Closest Elements,MEDIUM,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/find-k-closest-elements,70.2,0.486686656754684
Remove K Digits,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-k-digits,70.2,0.3494044611317414
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,70.2,0.3693616094426569
Shortest Bridge,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-bridge,70.2,0.5864849244498144
Longest Duplicate Substring,HARD,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function",https://leetcode.com/problems/longest-duplicate-substring,70.2,0.3079820333128984
Design Hit Counter,MEDIUM,"Array, Binary Search, Design, Queue, Data Stream",https://leetcode.com/problems/design-hit-counter,63.0,0.6920824458148753
Sliding Window Maximum,HARD,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum,63.0,0.47604137491635
