question,difficulty,topics,link,frequency,acceptance
Binary Tree Cameras,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-cameras,100.0,0.4718257360539049
Minimum Size Subarray in Infinite Array,MEDIUM,"Array, Hash Table, Sliding Window, Prefix Sum",https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,87.0,0.3120843874856566
Maximum Subsequence Score,MEDIUM,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-subsequence-score,81.7,0.5425202702418993
Removing Minimum Number of Magic Beans,MEDIUM,"Array, Greedy, Sorting, Enumeration, Prefix Sum",https://leetcode.com/problems/removing-minimum-number-of-magic-beans,81.7,0.436300971680093
Maximum Points Tourist Can Earn,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximum-points-tourist-can-earn,79.6,0.461489743499525
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,79.6,0.6385755479764873
Relative Sort Array,EASY,"Array, Hash Table, Sorting, Counting Sort",https://leetcode.com/problems/relative-sort-array,79.6,0.7492037718091799
Minimum Cost Walk in Weighted Graph,HARD,"Array, Bit Manipulation, Union Find, Graph",https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,79.6,0.6851442735134845
Sum Game,MEDIUM,"Math, String, Greedy, Game Theory",https://leetcode.com/problems/sum-game,79.6,0.4840779387431195
Max Number of K-Sum Pairs,MEDIUM,"Array, Hash Table, Two Pointers, Sorting",https://leetcode.com/problems/max-number-of-k-sum-pairs,79.6,0.5626723988820814
Maximum Points After Collecting Coins From All Nodes,HARD,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Memoization",https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,79.6,0.3575553600795502
Maximum Strength of K Disjoint Subarrays,HARD,"Array, Dynamic Programming, Prefix Sum",https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays,77.4,0.2678887164868473
Find the Sum of the Power of All Subsequences,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences,77.4,0.3658703363391598
Minimum Deletions to Make String K-Special,MEDIUM,"Hash Table, String, Greedy, Sorting, Counting",https://leetcode.com/problems/minimum-deletions-to-make-string-k-special,77.4,0.4473010725379491
Greatest Sum Divisible by Three,MEDIUM,"Array, Dynamic Programming, Greedy, Sorting",https://leetcode.com/problems/greatest-sum-divisible-by-three,77.4,0.509215065450593
Determine the Winner of a Bowling Game,EASY,"Array, Simulation",https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,77.4,0.357596387879643
Find the Maximum Divisibility Score,EASY,Array,https://leetcode.com/problems/find-the-maximum-divisibility-score,77.4,0.5045592705167173
Query Kth Smallest Trimmed Number,MEDIUM,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect",https://leetcode.com/problems/query-kth-smallest-trimmed-number,77.4,0.4557405560244507
Equal Row and Column Pairs,MEDIUM,"Array, Hash Table, Matrix, Simulation",https://leetcode.com/problems/equal-row-and-column-pairs,77.4,0.7050904124874572
Number of Subarrays With AND Value of K,HARD,"Array, Binary Search, Bit Manipulation, Segment Tree",https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,77.4,0.3385943612572507
Number of Substrings Containing All Three Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,77.4,0.7317133743793961
Maximum Deletions on a String,HARD,"String, Dynamic Programming, Rolling Hash, String Matching, Hash Function",https://leetcode.com/problems/maximum-deletions-on-a-string,77.4,0.3456476513741377
Median of a Row Wise Sorted Matrix,MEDIUM,"Array, Binary Search, Matrix",https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix,77.4,0.697513421870585
Take Gifts From the Richest Pile,EASY,"Array, Heap (Priority Queue), Simulation",https://leetcode.com/problems/take-gifts-from-the-richest-pile,77.4,0.7562443860270789
Find Peak Calling Hours for Each City,MEDIUM,Database,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,77.4,0.6175086929842504
Shortest String That Contains Three Strings,MEDIUM,"String, Greedy, Enumeration",https://leetcode.com/problems/shortest-string-that-contains-three-strings,77.4,0.3074737385913552
Minimum Runes to Add to Cast Spell,HARD,"Array, Depth-First Search, Breadth-First Search, Union Find, Graph, Topological Sort",https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell,77.4,0.4258649093904448
Minimize Connected Groups by Inserting Interval,MEDIUM,"Array, Binary Search, Sliding Window, Sorting",https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,77.4,0.5035282258064516
Count the Number of Incremovable Subarrays II,HARD,"Array, Two Pointers, Binary Search",https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,72.1,0.3898850394318673
K-th Smallest in Lexicographical Order,HARD,Trie,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,68.9,0.4590489282185661
Majority Element,EASY,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element,65.3,0.657403169331404
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,65.3,0.552596323925248
Minimum Number of Taps to Open to Water a Garden,HARD,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,65.3,0.5071699895141073
Minimum Number of Refueling Stops,HARD,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/minimum-number-of-refueling-stops,65.3,0.405574587771098
Painting the Walls,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/painting-the-walls,65.3,0.4851847868464569
Maximum Product Subarray,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-product-subarray,61.0,0.3494167403774456
Put Marbles in Bags,HARD,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/put-marbles-in-bags,61.0,0.72440073755378
House Robber,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber,61.0,0.5230498170963667
Sliding Window Maximum,HARD,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum,61.0,0.4760415445472158
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,61.0,0.6950029224907471
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,55.7,0.4704083876571219
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,55.7,0.5499187409631957
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,55.7,0.5209980487725024
Remove K Digits,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-k-digits,55.7,0.3494044611317414
Maximal Square,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximal-square,55.7,0.4876133314788993
Minimum Number of Pushes to Type Word II,MEDIUM,"Hash Table, String, Greedy, Sorting, Counting",https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,49.0,0.79904918551877
Swim in Rising Water,HARD,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix",https://leetcode.com/problems/swim-in-rising-water,49.0,0.6285262869935629
Number of Wonderful Substrings,MEDIUM,"Hash Table, String, Bit Manipulation, Prefix Sum",https://leetcode.com/problems/number-of-wonderful-substrings,49.0,0.6664800055231243
Task Scheduler,MEDIUM,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",https://leetcode.com/problems/task-scheduler,49.0,0.6153931254639827
Average Waiting Time,MEDIUM,"Array, Simulation",https://leetcode.com/problems/average-waiting-time,49.0,0.7305169732865104
