question,difficulty,topics,link,frequency,acceptance
Walls and Gates,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/walls-and-gates,100.0,0.6296791509568449
Binary Tree Maximum Path Sum,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum,95.3,0.412242800105891
Longest Increasing Path in a Matrix,HARD,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix",https://leetcode.com/problems/longest-increasing-path-in-a-matrix,92.4,0.5534762586302827
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,87.1,0.5441726985180008
Search Suggestions System,MEDIUM,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/search-suggestions-system,82.2,0.6505026464247127
Koko Eating Bananas,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/koko-eating-bananas,79.5,0.4906730142738797
Design File System,MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/design-file-system,75.3,0.6413755041392486
Most Profit Assigning Work,MEDIUM,"Array, Two Pointers, Binary Search, Greedy, Sorting",https://leetcode.com/problems/most-profit-assigning-work,75.3,0.5593843602581683
Check if One String Swap Can Make Strings Equal,EASY,"Hash Table, String, Counting",https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,74.4,0.4945324577226417
Shortest Distance from All Buildings,HARD,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-distance-from-all-buildings,72.9,0.4437276667084348
Single-Threaded CPU,MEDIUM,"Array, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/single-threaded-cpu,70.6,0.4648191183347267
Minimum Number of Steps to Make Two Strings Anagram,MEDIUM,"Hash Table, String, Counting",https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,70.6,0.8215204393310427
Find K Closest Elements,MEDIUM,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/find-k-closest-elements,69.3,0.486686656754684
Next Greater Element III,MEDIUM,"Math, Two Pointers, String",https://leetcode.com/problems/next-greater-element-iii,66.5,0.3458663140376646
Buddy Strings,EASY,"Hash Table, String",https://leetcode.com/problems/buddy-strings,66.5,0.3364396985632856
Design In-Memory File System,HARD,"Hash Table, String, Design, Trie, Sorting",https://leetcode.com/problems/design-in-memory-file-system,64.9,0.4816948941663167
Find Nearest Point That Has the Same X or Y Coordinate,EASY,Array,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,64.0,0.6943535233007477
