question,difficulty,topics,link,frequency,acceptance
Partition Equal Subset Sum,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/partition-equal-subset-sum,100.0,0.4844383709684365
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,97.7,0.4521463426108305
Remove One Element to Make the Array Strictly Increasing,EASY,Array,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,95.1,0.2871279849429479
Subtree of Another Tree,EASY,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",https://leetcode.com/problems/subtree-of-another-tree,95.1,0.4998483389268546
Alternating Digit Sum,EASY,Math,https://leetcode.com/problems/alternating-digit-sum,95.1,0.6843382048399503
Minimum Window Subsequence,HARD,"String, Dynamic Programming, Sliding Window",https://leetcode.com/problems/minimum-window-subsequence,95.1,0.4360614099707593
Binary Gap,EASY,Bit Manipulation,https://leetcode.com/problems/binary-gap,95.1,0.6465506874574097
Design Skiplist,HARD,"Linked List, Design",https://leetcode.com/problems/design-skiplist,95.1,0.5807262117036797
Minimize Maximum Pair Sum in Array,MEDIUM,"Array, Two Pointers, Greedy, Sorting",https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,95.1,0.8145595289564161
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,89.2,0.6231998166197807
Word Ladder,HARD,"Hash Table, String, Breadth-First Search",https://leetcode.com/problems/word-ladder,81.5,0.4281186707908879
Move Zeroes,EASY,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes,76.7,0.628040301372497
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,76.7,0.709288415799407
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,76.7,0.539397306376751
Open the Lock,MEDIUM,"Array, Hash Table, String, Breadth-First Search",https://leetcode.com/problems/open-the-lock,76.7,0.6074106348295799
Reconstruct Itinerary,HARD,"Depth-First Search, Graph, Eulerian Circuit",https://leetcode.com/problems/reconstruct-itinerary,70.8,0.4360564496598489
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,70.8,0.6797702091634737
Set Matrix Zeroes,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/set-matrix-zeroes,70.8,0.6070888278303417
Word Search II,HARD,"Array, String, Backtracking, Trie, Matrix",https://leetcode.com/problems/word-search-ii,70.8,0.3732631460421123
Course Schedule II,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule-ii,70.8,0.5342348242970771
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,70.8,0.4232284023440298
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,70.8,0.492343950231832
Meeting Rooms II,MEDIUM,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/meeting-rooms-ii,70.8,0.5214169179809166
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,MEDIUM,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,70.8,0.5675053393759442
