question,difficulty,topics,link,frequency,acceptance
Smallest Range Covering Elements from K Lists,HARD,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,100.0,0.6974692747987687
Shortest Bridge,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-bridge,97.5,0.5864849244498144
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,94.7,0.6510201042238819
Maximum Points You Can Obtain from Cards,MEDIUM,"Array, Sliding Window, Prefix Sum",https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,93.2,0.5563702302112898
Design Movie Rental System,HARD,"Array, Hash Table, Design, Heap (Priority Queue), Ordered Set",https://leetcode.com/problems/design-movie-rental-system,83.9,0.3550989216268999
Minimum Number of Coins to be Added,MEDIUM,"Array, Greedy, Sorting",https://leetcode.com/problems/minimum-number-of-coins-to-be-added,83.9,0.5669380799091082
Capacity To Ship Packages Within D Days,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,81.5,0.721177358490566
Minimum Cost to Reach City With Discounts,MEDIUM,"Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts,81.5,0.5989514378011969
Minimum Limit of Balls in a Bag,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,81.5,0.6729582611405128
The Score of Students Solving Math Expression,HARD,"Array, Math, String, Dynamic Programming, Stack, Memoization",https://leetcode.com/problems/the-score-of-students-solving-math-expression,81.5,0.3321676932247168
Numbers With Same Consecutive Differences,MEDIUM,"Backtracking, Breadth-First Search",https://leetcode.com/problems/numbers-with-same-consecutive-differences,81.5,0.5874121948872566
Triples with Bitwise AND Equal To Zero,HARD,"Array, Hash Table, Bit Manipulation",https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,81.5,0.593273081502327
Minimum Total Cost to Make Arrays Unequal,HARD,"Array, Hash Table, Greedy, Counting",https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,78.9,0.4050688867604803
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,78.9,0.5778283848079859
Binary Tree Maximum Path Sum,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum,75.9,0.4122428295975244
Koko Eating Bananas,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/koko-eating-bananas,75.9,0.4906724085014297
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,75.9,0.3693616634121832
Asteroid Collision,MEDIUM,"Array, Stack, Simulation",https://leetcode.com/problems/asteroid-collision,75.9,0.4550058166209298
Cherry Pickup II,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup-ii,72.6,0.7196542271599925
Minimum Adjacent Swaps for K Consecutive Ones,HARD,"Array, Greedy, Sliding Window, Prefix Sum",https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,72.6,0.4208017478234963
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,68.8,0.5577700123841364
Strong Password Checker,HARD,"String, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/strong-password-checker,68.8,0.1462273021710512
Create Maximum Number,HARD,"Array, Two Pointers, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/create-maximum-number,68.8,0.3249475515071097
Product of Array Except Self,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/product-of-array-except-self,68.8,0.6777996139428187
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,64.2,0.6232001096557939
Rotting Oranges,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/rotting-oranges,64.2,0.5661841837717154
Gas Station,MEDIUM,"Array, Greedy",https://leetcode.com/problems/gas-station,64.2,0.4638362080309398
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,64.2,0.4923440720817781
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,64.2,0.5441702810721643
Largest Rectangle in Histogram,HARD,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/largest-rectangle-in-histogram,58.7,0.4737762011419101
Dungeon Game,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/dungeon-game,58.7,0.3949585700362227
Subarray Sum Equals K,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sum-equals-k,58.7,0.4547620144808089
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,58.7,0.675831142046278
Edit Distance,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/edit-distance,58.7,0.5878980645167777
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,58.7,0.6684090455626255
Partition Equal Subset Sum,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/partition-equal-subset-sum,58.7,0.4844389765822093
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,58.7,0.4381458586755004
Burst Balloons,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/burst-balloons,58.7,0.6131500044712985
Maximum Width of Binary Tree,MEDIUM,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-width-of-binary-tree,58.7,0.4412945133765235
Find K-th Smallest Pair Distance,HARD,"Array, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/find-k-th-smallest-pair-distance,58.7,0.4579239829015915
Decode Ways,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/decode-ways,58.7,0.3653093731038959
Binary Tree Zigzag Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,58.7,0.6168287046375325
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,58.7,0.4108465766394882
Candy,HARD,"Array, Greedy",https://leetcode.com/problems/candy,51.6,0.4669985426363719
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,51.6,0.4939523131783485
Open the Lock,MEDIUM,"Array, Hash Table, String, Breadth-First Search",https://leetcode.com/problems/open-the-lock,51.6,0.6074112952607815
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,51.6,0.3786948581341589
Maximum Performance of a Team,HARD,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-performance-of-a-team,51.6,0.4751514702683188
Number of Students Unable to Eat Lunch,EASY,"Array, Stack, Queue, Simulation",https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,51.6,0.7873290271095185
