question,difficulty,topics,link,frequency,acceptance
Maximum Number of Potholes That Can Be Fixed,MEDIUM,"String, Greedy, Sorting",https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,100.0,0.5321978913219789
Largest Palindromic Number,MEDIUM,"Hash Table, String, Greedy, Counting",https://leetcode.com/problems/largest-palindromic-number,100.0,0.364732985875066
Number of Steps to Reduce a Number in Binary Representation to One,MEDIUM,"String, Bit Manipulation, Simulation",https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,89.4,0.613827202078772
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,89.4,0.6862562151218178
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,81.5,0.6227989635737581
Coin Change,MEDIUM,"Array, Dynamic Programming, Breadth-First Search",https://leetcode.com/problems/coin-change,81.5,0.4649990132792309
Best Time to Buy and Sell Stock with Cooldown,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,81.5,0.6040198654080395
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,76.2,0.410882605207862
Number of Spaces Cleaning Robot Cleaned,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,76.2,0.6207148067104303
Path with Maximum Gold,MEDIUM,"Array, Backtracking, Matrix",https://leetcode.com/problems/path-with-maximum-gold,69.5,0.6813024554816962
Longest Happy String,MEDIUM,"String, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/longest-happy-string,69.5,0.6546287139911711
Boundary of Binary Tree,MEDIUM,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/boundary-of-binary-tree,69.5,0.4715988986966334
Minimum Number of Food Buckets to Feed the Hamsters,MEDIUM,"String, Dynamic Programming, Greedy",https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,69.5,0.4704461884638604
Count of Smaller Numbers After Self,HARD,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",https://leetcode.com/problems/count-of-smaller-numbers-after-self,60.0,0.4287869938280897
Decode String,MEDIUM,"String, Stack, Recursion",https://leetcode.com/problems/decode-string,60.0,0.6115597417561752
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,60.0,0.6487058345594764
Minimum Moves to Spread Stones Over Grid,MEDIUM,"Array, Dynamic Programming, Breadth-First Search, Matrix",https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,60.0,0.4431801437482604
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,60.0,0.695043074082189
Cinema Seat Allocation,MEDIUM,"Array, Hash Table, Greedy, Bit Manipulation",https://leetcode.com/problems/cinema-seat-allocation,60.0,0.4282515351585946
Remove All Adjacent Duplicates In String,EASY,"String, Stack",https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,60.0,0.7159336923611213
