question,difficulty,topics,link,frequency,acceptance
Minimum Number of Visited Cells in a Grid,HARD,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack",https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,100.0,0.2276572430418584
Maximum Binary String After Change,MEDIUM,"String, Greedy",https://leetcode.com/problems/maximum-binary-string-after-change,100.0,0.4706330812393267
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,91.4,0.5577698961146816
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,83.3,0.4232285398916439
Decode String,MEDIUM,"String, Stack, Recursion",https://leetcode.com/problems/decode-string,83.3,0.6115256876997249
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,77.9,0.6232002678404789
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,77.9,0.7713291148642583
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,71.0,0.7467470974994019
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,71.0,0.6684090023960587
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,71.0,0.3584612031654919
24 Game,HARD,"Array, Math, Backtracking",https://leetcode.com/problems/24-game,61.3,0.5000170520428348
Largest Number,MEDIUM,"Array, String, Greedy, Sorting",https://leetcode.com/problems/largest-number,61.3,0.4128044827399091
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,61.3,0.5209980400703407
Daily Temperatures,MEDIUM,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/daily-temperatures,61.3,0.6736502832589849
Maximal Rectangle,HARD,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",https://leetcode.com/problems/maximal-rectangle,61.3,0.5370854116500401
