question,difficulty,topics,link,frequency,acceptance
Exclusive Time of Functions,MEDIUM,"Array, Stack",https://leetcode.com/problems/exclusive-time-of-functions,100.0,0.6479177009848633
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,92.9,0.6861927118001762
Fizz Buzz,EASY,"Math, String, Simulation",https://leetcode.com/problems/fizz-buzz,89.9,0.7437057263879774
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,88.8,0.6486629287856299
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,87.7,0.5525963643174824
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,85.3,0.5577699653967975
Count Ways to Group Overlapping Ranges,MEDIUM,"Array, Sorting",https://leetcode.com/problems/count-ways-to-group-overlapping-ranges,85.3,0.3810753087566162
Meeting Rooms II,MEDIUM,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/meeting-rooms-ii,82.6,0.5214162081616772
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,81.1,0.7790165261990751
Number of Divisible Triplet Sums,MEDIUM,"Array, Hash Table",https://leetcode.com/problems/number-of-divisible-triplet-sums,81.1,0.6780637725701113
Minimum Absolute Difference,EASY,"Array, Sorting",https://leetcode.com/problems/minimum-absolute-difference,81.1,0.7065237783248814
Minimum Operations to Make All Array Elements Equal,MEDIUM,"Array, Binary Search, Sorting, Prefix Sum",https://leetcode.com/problems/minimum-operations-to-make-all-array-elements-equal,81.1,0.3692031208906811
Minimum Operations to Make Median of Array Equal to K,MEDIUM,"Array, Greedy, Sorting",https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k,75.9,0.4668790233814748
Maximum Profitable Triplets With Increasing Prices I,MEDIUM,"Array, Binary Indexed Tree, Segment Tree",https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i,73.9,0.5452064141931081
Find The First Player to win K Games in a Row,MEDIUM,"Array, Simulation",https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row,73.9,0.3941278227126092
Activity Participants,MEDIUM,Database,https://leetcode.com/problems/activity-participants,73.9,0.7229791494362948
The kth Factor of n,MEDIUM,"Math, Number Theory",https://leetcode.com/problems/the-kth-factor-of-n,73.9,0.6957668800559188
Find Products of Elements of Big Array,HARD,"Array, Binary Search, Bit Manipulation",https://leetcode.com/problems/find-products-of-elements-of-big-array,71.7,0.2179005331701774
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,71.7,0.4939526830267454
Type of Triangle,EASY,"Array, Math, Sorting",https://leetcode.com/problems/type-of-triangle,71.7,0.4479472840401572
Taking Maximum Energy From the Mystic Dungeon,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon,71.7,0.4113351567966414
Find Occurrences of an Element in an Array,MEDIUM,"Array, Hash Table",https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array,71.7,0.725564552476571
Find the Array Concatenation Value,EASY,"Array, Two Pointers, Simulation",https://leetcode.com/problems/find-the-array-concatenation-value,71.7,0.7103725089782409
String Compression,MEDIUM,"Two Pointers, String",https://leetcode.com/problems/string-compression,71.7,0.580915717497265
Minimum Levels to Gain More Points,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/minimum-levels-to-gain-more-points,71.7,0.3911266875166984
Sort the Students by Their Kth Score,MEDIUM,"Array, Sorting, Matrix",https://leetcode.com/problems/sort-the-students-by-their-kth-score,71.7,0.8563725976646489
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,71.7,0.3693617467707291
Average Value of Even Numbers That Are Divisible by Three,EASY,"Array, Math",https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,71.7,0.6171273472553038
Count the Number of Incremovable Subarrays II,HARD,"Array, Two Pointers, Binary Search",https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,71.7,0.3898850394318673
