question,difficulty,topics,link,frequency,acceptance
Maximum Nesting Depth of the Parentheses,EASY,"String, Stack",https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,100.0,0.8434417458535225
Find Consecutive Integers from a Data Stream,MEDIUM,"Hash Table, Design, Queue, Counting, Data Stream",https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,100.0,0.493503487439047
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,100.0,0.6510208301452317
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,94.4,0.423228521307745
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,94.4,0.6232008746673919
Copy List with Random Pointer,MEDIUM,"Hash Table, Linked List",https://leetcode.com/problems/copy-list-with-random-pointer,87.1,0.6053674363634336
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,82.5,0.5577700049096483
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,76.9,0.3693614339383895
Count Primes,MEDIUM,"Array, Math, Enumeration, Number Theory",https://leetcode.com/problems/count-primes,76.9,0.347906460282023
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,69.6,0.6950032550840924
Reverse Integer,MEDIUM,Math,https://leetcode.com/problems/reverse-integer,69.6,0.3030896360085104
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,69.6,0.452147387470624
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,59.5,0.552596130610275
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,59.5,0.4622512217900423
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,59.5,0.535407225749065
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,59.5,0.6684090860904955
Reverse Words in a String,MEDIUM,"Two Pointers, String",https://leetcode.com/problems/reverse-words-in-a-string,59.5,0.519133143499611
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,59.5,0.5922449821659438
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,59.5,0.5778287794412776
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,59.5,0.5291958949083617
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,59.5,0.7790167844335805
Linked List Cycle,EASY,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle,59.5,0.5257066166210331
Valid Palindrome,EASY,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome,59.5,0.5096351970011289
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,59.5,0.5209980853471033
Top K Frequent Words,MEDIUM,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",https://leetcode.com/problems/top-k-frequent-words,59.5,0.5927714461385668
