question,difficulty,topics,link,frequency,acceptance
Minimum Number of Taps to Open to Water a Garden,HARD,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,100.0,0.5071699895141073
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,95.2,0.4232284606730624
Course Schedule II,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule-ii,93.3,0.5342350291611208
Most Profitable Path in a Tree,MEDIUM,"Array, Tree, Depth-First Search, Breadth-First Search, Graph",https://leetcode.com/problems/most-profitable-path-in-a-tree,93.3,0.6759769941567256
Maximum Product of Three Numbers,EASY,"Array, Math, Sorting",https://leetcode.com/problems/maximum-product-of-three-numbers,91.3,0.4531160336393117
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,89.1,0.4521462265150519
Max Area of Island,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/max-area-of-island,86.8,0.7316419811417654
Number of Substrings With Fixed Ratio,MEDIUM,"Hash Table, Math, String, Prefix Sum",https://leetcode.com/problems/number-of-substrings-with-fixed-ratio,86.8,0.5590675622283683
Maximum Total Beauty of the Gardens,HARD,"Array, Two Pointers, Binary Search, Greedy, Sorting, Enumeration, Prefix Sum",https://leetcode.com/problems/maximum-total-beauty-of-the-gardens,86.8,0.2997584287364772
Destroy Sequential Targets,MEDIUM,"Array, Hash Table, Counting",https://leetcode.com/problems/destroy-sequential-targets,86.8,0.4062232094146987
Length of the Longest Subsequence That Sums to Target,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target,86.8,0.3724776248615478
Basic Calculator IV,HARD,"Hash Table, Math, String, Stack, Recursion",https://leetcode.com/problems/basic-calculator-iv,86.8,0.4866033755274261
Number of Distinct Substrings in a String,MEDIUM,"String, Trie, Rolling Hash, Suffix Array, Hash Function",https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,86.8,0.6454241948153967
Maximum Difference Score in a Grid,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximum-difference-score-in-a-grid,86.8,0.46693822131704
Make String Anti-palindrome,HARD,"String, Greedy, Sorting, Counting Sort",https://leetcode.com/problems/make-string-anti-palindrome,86.8,0.4245591116917048
Sudoku Solver,HARD,"Array, Hash Table, Backtracking, Matrix",https://leetcode.com/problems/sudoku-solver,84.1,0.6390864248405232
