question,difficulty,topics,link,frequency,acceptance
Count Common Words With One Occurrence,EASY,"Array, Hash Table, String, Counting",https://leetcode.com/problems/count-common-words-with-one-occurrence,100.0,0.7239072189776627
Walking Robot Simulation,MEDIUM,"Array, Hash Table, Simulation",https://leetcode.com/problems/walking-robot-simulation,93.4,0.5823045930701047
Minimum Time to Make Array Sum At Most x,HARD,"Array, Dynamic Programming, Sorting",https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x,91.3,0.2532966511716156
Add Two Integers,EASY,Math,https://leetcode.com/problems/add-two-integers,76.5,0.8812235205558485
Stream of Characters,HARD,"Array, String, Design, Trie, Data Stream",https://leetcode.com/problems/stream-of-characters,65.5,0.5122860949942819
Add Strings,EASY,"Math, String, Simulation",https://leetcode.com/problems/add-strings,65.5,0.5190382397212994
Design a Text Editor,HARD,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List",https://leetcode.com/problems/design-a-text-editor,65.5,0.4713807144713662
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,56.9,0.4548310557827226
Evaluate Division,MEDIUM,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",https://leetcode.com/problems/evaluate-division,56.9,0.6314703869340609
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,56.9,0.6510203426350943
Number of Orders in the Backlog,MEDIUM,"Array, Heap (Priority Queue), Simulation",https://leetcode.com/problems/number-of-orders-in-the-backlog,56.9,0.5196292359051828
