question,difficulty,topics,link,frequency,acceptance
Sort Integers by The Number of 1 Bits,EASY,"Array, Bit Manipulation, Sorting, Counting",https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,100.0,0.7868399685247711
Reaching Points,HARD,Math,https://leetcode.com/problems/reaching-points,96.5,0.336468882434809
Least Number of Unique Integers after K Removals,MEDIUM,"Array, Hash Table, Greedy, Sorting, Counting",https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,93.1,0.6341766250570863
Minimum Suffix Flips,MEDIUM,"String, Greedy",https://leetcode.com/problems/minimum-suffix-flips,90.8,0.7348245888613324
Remove Colored Pieces if Both Neighbors are the Same Color,MEDIUM,"Math, String, Greedy, Game Theory",https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,89.1,0.6283917583136946
Break a Palindrome,MEDIUM,"String, Greedy",https://leetcode.com/problems/break-a-palindrome,86.2,0.515441720680916
Minimum Absolute Difference,EASY,"Array, Sorting",https://leetcode.com/problems/minimum-absolute-difference,82.9,0.7065237783248814
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,82.9,0.4305775328017951
Check Whether Two Strings are Almost Equivalent,EASY,"Hash Table, String, Counting",https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,82.9,0.6364656307145949
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,77.6,0.7092883082997726
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,76.0,0.552596290131516
Determine Color of a Chessboard Square,EASY,"Math, String",https://leetcode.com/problems/determine-color-of-a-chessboard-square,74.3,0.7932834456061206
Minimum Swaps to Make Strings Equal,MEDIUM,"Math, String, Greedy",https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,74.3,0.6470896696381752
Numbers With Repeated Digits,HARD,"Math, Dynamic Programming",https://leetcode.com/problems/numbers-with-repeated-digits,74.3,0.4346119124099851
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,72.4,0.4939526867214799
Suspicious Bank Accounts,MEDIUM,Database,https://leetcode.com/problems/suspicious-bank-accounts,70.4,0.4493060145406477
Button with Longest Push Time,EASY,Array,https://leetcode.com/problems/button-with-longest-push-time,70.4,0.4059366074012558
Display Table of Food Orders in a Restaurant,MEDIUM,"Array, Hash Table, String, Sorting, Ordered Set",https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant,70.4,0.7565692616551416
Check if Number Has Equal Digit Count and Digit Value,EASY,"Hash Table, String, Counting",https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,70.4,0.7244297819277936
Maximum Number of Points From Grid Queries,HARD,"Array, Two Pointers, Breadth-First Search, Union Find, Sorting, Heap (Priority Queue), Matrix",https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,70.4,0.5950536029744709
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,70.4,0.4232283891861154
Lexicographically Smallest String After Applying Operations,MEDIUM,"String, Depth-First Search, Breadth-First Search, Enumeration",https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations,70.4,0.6527957931638914
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,70.4,0.7790165261990751
Lexicographically Smallest String After a Swap,EASY,"String, Greedy",https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,70.4,0.5366232121180134
Reverse Odd Levels of Binary Tree,MEDIUM,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/reverse-odd-levels-of-binary-tree,70.4,0.866394464658027
Find Resultant Array After Removing Anagrams,EASY,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,68.1,0.5947293118567407
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,65.6,0.3584612117986065
Count Numbers with Unique Digits,MEDIUM,"Math, Dynamic Programming, Backtracking",https://leetcode.com/problems/count-numbers-with-unique-digits,62.8,0.5434517416497606
Happy Number,EASY,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number,59.5,0.5807265703754434
