question,difficulty,topics,link,frequency,acceptance
Max Stack,HARD,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set",https://leetcode.com/problems/max-stack,100.0,0.4553177840865414
Nested List Weight Sum II,MEDIUM,"Stack, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/nested-list-weight-sum-ii,94.7,0.6557146449899617
All O`one Data Structure,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/all-oone-data-structure,94.4,0.4413477976145218
Word Ladder,HARD,"Hash Table, String, Breadth-First Search",https://leetcode.com/problems/word-ladder,79.1,0.4281182673737007
Find the Celebrity,MEDIUM,"Two Pointers, Graph, Interactive",https://leetcode.com/problems/find-the-celebrity,79.1,0.4843840356335517
Nested List Weight Sum,MEDIUM,"Depth-First Search, Breadth-First Search",https://leetcode.com/problems/nested-list-weight-sum,77.8,0.8554000344037734
Shortest Word Distance II,MEDIUM,"Array, Hash Table, Two Pointers, String, Design",https://leetcode.com/problems/shortest-word-distance-ii,77.4,0.621334883686483
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,77.4,0.5209977640581438
Find Leaves of Binary Tree,MEDIUM,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/find-leaves-of-binary-tree,77.4,0.810721302930833
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,76.5,0.4232282276281134
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,75.6,0.6231992538801062
Maximum Product Subarray,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-product-subarray,73.0,0.3494161479461919
Can Place Flowers,EASY,"Array, Greedy",https://leetcode.com/problems/can-place-flowers,72.4,0.2889925348974547
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,71.3,0.4283722138743466
"Pow(x, n)",MEDIUM,"Math, Recursion",https://leetcode.com/problems/powx-n,70.6,0.3702318030737945
Binary Tree Upside Down,MEDIUM,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-upside-down,69.3,0.6450428958113502
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,69.3,0.549918579117808
Partition to K Equal Sum Subsets,MEDIUM,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",https://leetcode.com/problems/partition-to-k-equal-sum-subsets,68.7,0.3812602522279146
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,67.9,0.4682874104872264
Paint House,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/paint-house,67.9,0.6373080782394743
Serialize and Deserialize Binary Tree,HARD,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",https://leetcode.com/problems/serialize-and-deserialize-binary-tree,66.4,0.5896946953630543
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,64.8,0.4535074763823223
Maximum Depth of Binary Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-depth-of-binary-tree,63.9,0.7713814396646365
Factor Combinations,MEDIUM,Backtracking,https://leetcode.com/problems/factor-combinations,63.9,0.5024211255576286
Shortest Word Distance,EASY,"Array, String",https://leetcode.com/problems/shortest-word-distance,63.9,0.6594968094700921
Exclusive Time of Functions,MEDIUM,"Array, Stack",https://leetcode.com/problems/exclusive-time-of-functions,63.9,0.6479177009848633
Lowest Common Ancestor of a Binary Tree,MEDIUM,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,63.0,0.6675499347216417
