question,difficulty,topics,link,frequency,acceptance
Minimum Operations to Form Subsequence With Target Sum,HARD,"Array, Greedy, Bit Manipulation",https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum,100.0,0.3129730765545654
Count the Number of Square-Free Subsets,MEDIUM,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask",https://leetcode.com/problems/count-the-number-of-square-free-subsets,92.9,0.25180479353162
Scramble String,HARD,"String, Dynamic Programming",https://leetcode.com/problems/scramble-string,86.4,0.4218183471253161
Maximum Genetic Difference Query,HARD,"Array, Hash Table, Bit Manipulation, Depth-First Search, Trie",https://leetcode.com/problems/maximum-genetic-difference-query,86.4,0.4434214822069866
Furthest Building You Can Reach,MEDIUM,"Array, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/furthest-building-you-can-reach,82.4,0.5037105972749183
Minimum Total Space Wasted With K Resizing Operations,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,82.4,0.4296401393009157
Make the XOR of All Segments Equal to Zero,HARD,"Array, Dynamic Programming, Bit Manipulation",https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,82.4,0.3991844132306298
Minimum Time Visiting All Points,EASY,"Array, Math, Geometry",https://leetcode.com/problems/minimum-time-visiting-all-points,82.4,0.8256296671703379
Minimum XOR Sum of Two Arrays,HARD,"Array, Dynamic Programming, Bit Manipulation, Bitmask",https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,82.4,0.4909993792675357
Minimum Cost to Buy Apples,MEDIUM,"Array, Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/minimum-cost-to-buy-apples,82.4,0.671071953010279
Queens That Can Attack the King,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/queens-that-can-attack-the-king,82.4,0.7218199832329852
Maximum XOR of Two Non-Overlapping Subtrees,HARD,"Tree, Depth-First Search, Graph, Trie",https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees,82.4,0.4955277280858676
Difference Between Maximum and Minimum Price Sum,HARD,"Array, Dynamic Programming, Tree, Depth-First Search",https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,82.4,0.3183270902780164
Sum of Remoteness of All Cells,MEDIUM,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/sum-of-remoteness-of-all-cells,82.4,0.7082374597330879
Maximum Value of an Ordered Triplet II,MEDIUM,Array,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,82.4,0.5666645634689401
