question,difficulty,topics,link,frequency,acceptance
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,88.1,0.5291952052651709
"Pow(x, n)",MEDIUM,"Math, Recursion",https://leetcode.com/problems/powx-n,86.9,0.3702318823521848
Simplify Path,MEDIUM,"String, Stack",https://leetcode.com/problems/simplify-path,85.9,0.4785432317744196
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,84.8,0.4939526774846352
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,83.8,0.5577698896587009
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,78.3,0.4305773671839413
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,77.2,0.567741907864408
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,76.7,0.3707095392707933
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,72.1,0.4682873183580639
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,71.1,0.4232281667216221
Valid Number,HARD,String,https://leetcode.com/problems/valid-number,70.2,0.2156351250311539
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,68.6,0.4535073359144813
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,66.7,0.4548305505260665
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,65.1,0.4622507231988566
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,64.1,0.6385756647080152
Subsets,MEDIUM,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets,64.1,0.808795565390318
Remove Nth Node From End of List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/remove-nth-node-from-end-of-list,63.6,0.4896103052563428
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,63.1,0.3693616554948768
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,60.6,0.6510192881379091
String to Integer (atoi),MEDIUM,String,https://leetcode.com/problems/string-to-integer-atoi,59.7,0.1922942349527772
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,59.0,0.3584611475412551
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,59.0,0.6035551112882038
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,58.2,0.4381459000864632
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,57.0,0.5922455030165414
