question,difficulty,topics,link,frequency,acceptance
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,100.0,0.5525959754111676
Minimum Cost to Move Chips to The Same Position,EASY,"Array, Math, Greedy",https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,89.7,0.7235395523557598
Find The Original Array of Prefix Xor,MEDIUM,"Array, Bit Manipulation",https://leetcode.com/problems/find-the-original-array-of-prefix-xor,89.7,0.8810500495257456
Best Team With No Conflicts,MEDIUM,"Array, Dynamic Programming, Sorting",https://leetcode.com/problems/best-team-with-no-conflicts,89.7,0.5042606461247886
Find Subarrays With Equal Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/find-subarrays-with-equal-sum,87.5,0.6625844195401696
Minimum Number of Lines to Cover Points,MEDIUM,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask",https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,87.5,0.42784942488672
The Employee That Worked on the Longest Task,EASY,Array,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,87.5,0.5059108514906449
Find the Longest Valid Obstacle Course at Each Position,HARD,"Array, Binary Search, Binary Indexed Tree",https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,87.5,0.6252322177156585
Count Subarrays With Fixed Bounds,HARD,"Array, Queue, Sliding Window, Monotonic Queue",https://leetcode.com/problems/count-subarrays-with-fixed-bounds,75.5,0.6940834976032579
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,71.2,0.5577699298053613
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,71.2,0.493952626052891
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,65.9,0.3693615703956595
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,65.9,0.4108465766394882
