question,difficulty,topics,link,frequency,acceptance
Happy Number,EASY,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number,100.0,0.5807266385502934
Diagonal Traverse,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/diagonal-traverse,92.4,0.6317355223295921
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,92.4,0.4232291161191884
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,92.4,0.5209992241964507
Min Stack,MEDIUM,"Stack, Design",https://leetcode.com/problems/min-stack,92.4,0.5644516280721968
Can Place Flowers,EASY,"Array, Greedy",https://leetcode.com/problems/can-place-flowers,92.4,0.2889915564370989
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,92.4,0.4305780230850065
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,81.6,0.3693617692365688
Design Graph With Shortest Path Calculator,HARD,"Graph, Design, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/design-graph-with-shortest-path-calculator,81.6,0.6410393855779539
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,81.6,0.6950033191253866
