question,difficulty,topics,link,frequency,acceptance
Last Stone Weight,EASY,"Array, Heap (Priority Queue)",https://leetcode.com/problems/last-stone-weight,100.0,0.6592869343167317
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,89.6,0.4521457621314454
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,86.8,0.7092882008000586
Minimum Operations to Reduce an Integer to 0,MEDIUM,"Dynamic Programming, Greedy, Bit Manipulation",https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,85.3,0.5730954555475073
Special Binary String,HARD,"String, Recursion",https://leetcode.com/problems/special-binary-string,83.7,0.6351153721156971
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,82.0,0.5525964947120579
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,80.1,0.557769930567234
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,80.1,0.3693616778786302
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,78.0,0.4622508143957371
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,78.0,0.5209977640581438
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,78.0,0.6231992538801062
Maximum Number of Visible Points,HARD,"Array, Math, Geometry, Sliding Window, Sorting",https://leetcode.com/problems/maximum-number-of-visible-points,75.8,0.3767605072174815
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,75.8,0.4283721632586699
Reverse Bits,EASY,"Divide and Conquer, Bit Manipulation",https://leetcode.com/problems/reverse-bits,75.8,0.6320549868777902
Dot Product of Two Sparse Vectors,MEDIUM,"Array, Hash Table, Two Pointers, Design",https://leetcode.com/problems/dot-product-of-two-sparse-vectors,70.6,0.8993424664218707
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,70.6,0.4232282090442202
Missing Number,EASY,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",https://leetcode.com/problems/missing-number,70.6,0.7006535616405187
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,67.4,0.5677420052593406
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,67.4,0.4939525284365195
Move Zeroes,EASY,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes,67.4,0.6280402658363383
Task Scheduler II,MEDIUM,"Array, Hash Table, Simulation",https://leetcode.com/problems/task-scheduler-ii,67.4,0.5397256916203358
Fibonacci Number,EASY,"Math, Dynamic Programming, Recursion, Memoization",https://leetcode.com/problems/fibonacci-number,63.8,0.7294490652977258
Copy List with Random Pointer,MEDIUM,"Hash Table, Linked List",https://leetcode.com/problems/copy-list-with-random-pointer,63.8,0.6053669280147949
Find Median from Data Stream,HARD,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/find-median-from-data-stream,63.8,0.5327813617707072
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,63.8,0.7790165261990751
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,59.6,0.54991878709743
Rectangle Area,MEDIUM,"Math, Geometry",https://leetcode.com/problems/rectangle-area,59.6,0.4737387162244031
String to Integer (atoi),MEDIUM,String,https://leetcode.com/problems/string-to-integer-atoi,59.6,0.1922941794548009
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,59.6,0.7713286717803378
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,59.6,0.6510194577693873
Find the Duplicate Number,MEDIUM,"Array, Two Pointers, Binary Search, Bit Manipulation",https://leetcode.com/problems/find-the-duplicate-number,59.6,0.6283577384693005
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,59.6,0.5354072335656744
Break a Palindrome,MEDIUM,"String, Greedy",https://leetcode.com/problems/break-a-palindrome,59.6,0.515441720680916
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,59.6,0.6797700029167107
Binary Tree Maximum Path Sum,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum,54.4,0.4122426484532653
Snapshot Array,MEDIUM,"Array, Hash Table, Binary Search, Design",https://leetcode.com/problems/snapshot-array,54.4,0.3666543001837093
Delete Duplicate Folders in System,HARD,"Array, Hash Table, String, Trie, Hash Function",https://leetcode.com/problems/delete-duplicate-folders-in-system,54.4,0.5378519731628718
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,54.4,0.5393976057408939
