question,difficulty,topics,link,frequency,acceptance
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,100.0,0.452147387470624
Find the Longest Equal Subarray,MEDIUM,"Array, Hash Table, Binary Search, Sliding Window",https://leetcode.com/problems/find-the-longest-equal-subarray,94.5,0.3623757637187825
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,84.2,0.3693614444669191
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,76.5,0.4381461925594216
String Compression,MEDIUM,"Two Pointers, String",https://leetcode.com/problems/string-compression,76.5,0.580915717497265
Meeting Rooms,EASY,"Array, Sorting",https://leetcode.com/problems/meeting-rooms,64.9,0.5894711201013537
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,64.9,0.5499186948290465
Sliding Window Maximum,HARD,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum,64.9,0.4760417654013659
Minimum Path Sum,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimum-path-sum,64.9,0.6648156665884841
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,64.9,0.5577699664071786
Min Stack,MEDIUM,"Stack, Design",https://leetcode.com/problems/min-stack,64.9,0.5644515535072046
Binary Tree Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-level-order-traversal,64.9,0.7059659090909091
Maximum Length of a Concatenated String with Unique Characters,MEDIUM,"Array, String, Backtracking, Bit Manipulation",https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,64.9,0.5426330997564837
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,64.9,0.7092885297664818
Word Break,MEDIUM,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",https://leetcode.com/problems/word-break,55.7,0.4827381711279015
Design HashMap,EASY,"Array, Hash Table, Linked List, Design, Hash Function",https://leetcode.com/problems/design-hashmap,55.7,0.6589396791121357
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,55.7,0.5291958949083617
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,55.7,0.6684090442432823
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,55.7,0.6861924193258928
Shortest Path in Binary Matrix,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-path-in-binary-matrix,55.7,0.497887466799674
Top K Frequent Words,MEDIUM,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",https://leetcode.com/problems/top-k-frequent-words,55.7,0.592771943363307
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,55.7,0.3584612292079602
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,55.7,0.4232285107271765
Restore IP Addresses,MEDIUM,"String, Backtracking",https://leetcode.com/problems/restore-ip-addresses,55.7,0.5315843132324689
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,55.7,0.4283722145334321
Basic Calculator,HARD,"Math, String, Stack, Recursion",https://leetcode.com/problems/basic-calculator,55.7,0.4558965465296108
