question,difficulty,topics,link,frequency,acceptance
Zigzag Conversion,MEDIUM,String,https://leetcode.com/problems/zigzag-conversion,100.0,0.5160678115303926
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,79.2,0.4521457621314454
Minimum Replacements to Sort the Array,HARD,"Array, Math, Greedy",https://leetcode.com/problems/minimum-replacements-to-sort-the-array,77.5,0.5324087646108167
Count Vowel Strings in Ranges,MEDIUM,"Array, String, Prefix Sum",https://leetcode.com/problems/count-vowel-strings-in-ranges,77.5,0.6786629908928055
Count the Number of Vowel Strings in Range,EASY,"Array, String, Counting",https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,77.5,0.7351821231161714
Meeting Scheduler,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/meeting-scheduler,75.5,0.5522977372018112
Maximum Number of Integers to Choose From a Range I,MEDIUM,"Array, Hash Table, Binary Search, Greedy, Sorting",https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i,75.5,0.6791400643868877
Number of Valid Move Combinations On Chessboard,HARD,"Array, String, Backtracking, Simulation",https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,75.5,0.4773802763581298
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,75.5,0.4526692829987259
Time Needed to Rearrange a Binary String,MEDIUM,"String, Dynamic Programming, Simulation",https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,75.5,0.5155956910874109
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,75.5,0.6231993213058742
Maximum Frequency Score of a Subarray,HARD,"Array, Hash Table, Math, Stack, Sliding Window",https://leetcode.com/problems/maximum-frequency-score-of-a-subarray,75.5,0.3515392254220457
Minimum Non-Zero Product of the Array Elements,MEDIUM,"Math, Greedy, Recursion",https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,73.4,0.3633183019748095
Maximum Number of Integers to Choose From a Range II,MEDIUM,"Array, Binary Search, Greedy, Sorting",https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii,73.4,0.3501022494887525
Paint House III,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/paint-house-iii,73.4,0.6098395490806937
Maximum Sum Obtained of Any Permutation,MEDIUM,"Array, Greedy, Sorting, Prefix Sum",https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,73.4,0.393747339545003
Count Array Pairs Divisible by K,HARD,"Array, Math, Number Theory",https://leetcode.com/problems/count-array-pairs-divisible-by-k,73.4,0.3014857343209011
Smallest Greater Multiple Made of Two Digits,MEDIUM,"Math, Enumeration",https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,73.4,0.4793917567026811
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,73.4,0.5525965239541591
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,73.4,0.7092882008000586
Longest Increasing Subsequence,MEDIUM,"Array, Binary Search, Dynamic Programming",https://leetcode.com/problems/longest-increasing-subsequence,71.0,0.5780836795005291
Maximal Square,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximal-square,71.0,0.4876133314788993
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,71.0,0.5577699372797245
Product of Array Except Self,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/product-of-array-except-self,68.4,0.6777995730835785
Coin Change,MEDIUM,"Array, Dynamic Programming, Breadth-First Search",https://leetcode.com/problems/coin-change,68.4,0.4649545396006711
Pairs of Songs With Total Durations Divisible by 60,MEDIUM,"Array, Hash Table, Counting",https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,65.5,0.5324772640938334
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,62.0,0.3693617213196236
Minimum Absolute Difference,EASY,"Array, Sorting",https://leetcode.com/problems/minimum-absolute-difference,62.0,0.7065237783248814
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,62.0,0.4939526057316443
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,62.0,0.5291952521829845
Subarray Sum Equals K,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sum-equals-k,62.0,0.4547620606469613
Find the Smallest Divisor Given a Threshold,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,58.0,0.6364613847469199
Maximum Number of Events That Can Be Attended,MEDIUM,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,58.0,0.3292198182552009
Loud and Rich,MEDIUM,"Array, Depth-First Search, Graph, Topological Sort",https://leetcode.com/problems/loud-and-rich,58.0,0.616717862975348
