question,difficulty,topics,link,frequency,acceptance
Frog Jump,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/frog-jump,100.0,0.4655846450889997
Burst Balloons,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/burst-balloons,94.2,0.6131506571954038
Decoded String at Index,MEDIUM,"String, Stack",https://leetcode.com/problems/decoded-string-at-index,90.7,0.3664800589890254
Maximum Tastiness of Candy Basket,MEDIUM,"Array, Binary Search, Greedy, Sorting",https://leetcode.com/problems/maximum-tastiness-of-candy-basket,86.6,0.6614699820199097
Simple Bank System,MEDIUM,"Array, Hash Table, Design, Simulation",https://leetcode.com/problems/simple-bank-system,86.6,0.6142935665806328
Smallest Range Covering Elements from K Lists,HARD,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,86.6,0.6974692747987687
Viewers Turned Streamers,HARD,Database,https://leetcode.com/problems/viewers-turned-streamers,84.3,0.4292741451709658
Frequencies of Shortest Supersequences,HARD,"Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration",https://leetcode.com/problems/frequencies-of-shortest-supersequences,84.3,0.1575098109168747
Smallest String With Swaps,MEDIUM,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",https://leetcode.com/problems/smallest-string-with-swaps,84.3,0.5942528787313349
Maximum Amount of Money Robot Can Earn,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,84.3,0.2869294095123486
Check if Point Is Reachable,HARD,"Math, Number Theory",https://leetcode.com/problems/check-if-point-is-reachable,84.3,0.4342334096109839
Count the Number of Arrays with K Matching Adjacent Elements,HARD,"Math, Combinatorics",https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,84.3,0.5864115975603135
Find Beautiful Indices in the Given Array II,HARD,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function",https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,84.3,0.264520327554728
Remove K Digits,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-k-digits,78.8,0.3494044611317414
Most Stones Removed with Same Row or Column,MEDIUM,"Hash Table, Depth-First Search, Union Find, Graph",https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,75.5,0.6218989759471679
Bus Routes,HARD,"Array, Hash Table, Breadth-First Search",https://leetcode.com/problems/bus-routes,75.5,0.4695297092963377
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,71.8,0.6510207506751376
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,71.8,0.3584612292079602
House Robber II,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber-ii,67.3,0.4356268343978175
Queue Reconstruction by Height,MEDIUM,"Array, Binary Indexed Tree, Segment Tree, Sorting",https://leetcode.com/problems/queue-reconstruction-by-height,67.3,0.7416322165647796
Split Array Largest Sum,HARD,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",https://leetcode.com/problems/split-array-largest-sum,67.3,0.5809960631242778
Candy,HARD,"Array, Greedy",https://leetcode.com/problems/candy,67.3,0.4669983592386035
Frequency of the Most Frequent Element,MEDIUM,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum",https://leetcode.com/problems/frequency-of-the-most-frequent-element,67.3,0.4410322381561993
House Robber,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber,67.3,0.5230497073687154
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,67.3,0.5525960631374587
Kth Smallest Element in a Sorted Matrix,MEDIUM,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,67.3,0.635667000789853
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,67.3,0.5441708252506257
Amount of Time for Binary Tree to Be Infected,MEDIUM,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,61.9,0.6373515517663223
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,MEDIUM,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,61.9,0.5675053393759442
Reachable Nodes In Subdivided Graph,HARD,"Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,61.9,0.5078847199564981
Koko Eating Bananas,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/koko-eating-bananas,61.9,0.490671810822234
Sum of Distances in Tree,HARD,"Dynamic Programming, Tree, Depth-First Search, Graph",https://leetcode.com/problems/sum-of-distances-in-tree,61.9,0.653395424019089
Make Lexicographically Smallest Array by Swapping Elements,MEDIUM,"Array, Union Find, Sorting",https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,61.9,0.6026879026047842
