question,difficulty,topics,link,frequency,acceptance
Count and Say,MEDIUM,String,https://leetcode.com/problems/count-and-say,100.0,0.6050656775612677
Reconstruct Itinerary,HARD,"Depth-First Search, Graph, Eulerian Circuit",https://leetcode.com/problems/reconstruct-itinerary,94.8,0.4360564496598489
Shortest Path in a Grid with Obstacles Elimination,HARD,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,93.4,0.4560618572179266
Optimal Account Balancing,HARD,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/optimal-account-balancing,92.4,0.4993810266893702
Count Subarrays With Score Less Than K,HARD,"Array, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/count-subarrays-with-score-less-than-k,90.8,0.624292227810353
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,89.6,0.5441718927003354
Bus Routes,HARD,"Array, Hash Table, Breadth-First Search",https://leetcode.com/problems/bus-routes,85.7,0.4695297092963377
Expression Add Operators,HARD,"Math, String, Backtracking",https://leetcode.com/problems/expression-add-operators,85.0,0.4167625219870472
Find Median from Data Stream,HARD,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/find-median-from-data-stream,78.8,0.5327811901307457
Shortest Way to Form String,MEDIUM,"Two Pointers, String, Binary Search, Greedy",https://leetcode.com/problems/shortest-way-to-form-string,76.6,0.6132842198320319
Is Subsequence,EASY,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/is-subsequence,74.2,0.4838254338584999
Reorganize String,MEDIUM,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",https://leetcode.com/problems/reorganize-string,72.8,0.5619634145417838
Longest Word in Dictionary,MEDIUM,"Array, Hash Table, String, Trie, Sorting",https://leetcode.com/problems/longest-word-in-dictionary,69.8,0.5345847539959035
Design Search Autocomplete System,HARD,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/design-search-autocomplete-system,69.8,0.4940635941634056
Find Median Given Frequency of Numbers,HARD,Database,https://leetcode.com/problems/find-median-given-frequency-of-numbers,66.2,0.4246215119099287
Jump Game III,MEDIUM,"Array, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/jump-game-iii,64.2,0.6603717968394102
Find K-th Smallest Pair Distance,HARD,"Array, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/find-k-th-smallest-pair-distance,61.9,0.4579239829015915
Coin Change,MEDIUM,"Array, Dynamic Programming, Breadth-First Search",https://leetcode.com/problems/coin-change,61.9,0.4649547506448627
String Compression,MEDIUM,"Two Pointers, String",https://leetcode.com/problems/string-compression,59.2,0.580915717497265
