question,difficulty,topics,link,frequency,acceptance
String Compression III,MEDIUM,String,https://leetcode.com/problems/string-compression-iii,100.0,0.6681506980036712
Maximum Number of Ones,HARD,"Math, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-number-of-ones,97.6,0.6875
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,91.9,0.7920658456913696
Remove Nth Node From End of List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/remove-nth-node-from-end-of-list,74.2,0.4896110894757927
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,74.2,0.7790164128488621
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,74.2,0.4521469230889856
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,74.2,0.6232001329897883
Reverse Bits,EASY,"Divide and Conquer, Bit Manipulation",https://leetcode.com/problems/reverse-bits,74.2,0.6320548865842875
Middle of the Linked List,EASY,"Linked List, Two Pointers",https://leetcode.com/problems/middle-of-the-linked-list,74.2,0.805816977306921
Design Memory Allocator,MEDIUM,"Array, Hash Table, Design, Simulation",https://leetcode.com/problems/design-memory-allocator,66.9,0.484441262323071
Majority Element,EASY,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element,66.9,0.6574031216508412
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,66.9,0.5291955199854382
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,66.9,0.5577700294820955
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,66.9,0.4232284180792206
Implement Queue using Stacks,EASY,"Stack, Design, Queue",https://leetcode.com/problems/implement-queue-using-stacks,66.9,0.6806080152077176
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,66.9,0.5922453783509798
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,66.9,0.535407296923177
Number of 1 Bits,EASY,"Divide and Conquer, Bit Manipulation",https://leetcode.com/problems/number-of-1-bits,66.9,0.7450473237228846
Swap Nodes in Pairs,MEDIUM,"Linked List, Recursion",https://leetcode.com/problems/swap-nodes-in-pairs,66.9,0.6720138170048461
Design Circular Queue,MEDIUM,"Array, Linked List, Design, Queue",https://leetcode.com/problems/design-circular-queue,56.6,0.5264411843359923
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,56.6,0.8066012451560871
Power of Four,EASY,"Math, Bit Manipulation, Recursion",https://leetcode.com/problems/power-of-four,56.6,0.4947101228054184
