question,difficulty,topics,link,frequency,acceptance
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,100.0,0.6510199452828925
Subarray Product Less Than K,MEDIUM,"Array, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/subarray-product-less-than-k,100.0,0.5285344933981581
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,97.9,0.4232284155019281
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,97.9,0.7092883921583564
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,95.5,0.4521465748022402
Lexicographically Smallest String After Operations With Constraint,MEDIUM,"String, Greedy",https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,93.0,0.6227321960465746
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,93.0,0.7713287456277772
Number of Distinct Roll Sequences,HARD,"Dynamic Programming, Memoization",https://leetcode.com/problems/number-of-distinct-roll-sequences,93.0,0.5732509917057339
Find Minimum Diameter After Merging Two Trees,HARD,"Tree, Depth-First Search, Breadth-First Search, Graph",https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,93.0,0.5738039227667114
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,87.0,0.3693616686764883
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,79.4,0.5525962767056939
Move Zeroes,EASY,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes,79.4,0.6280403369085903
Zigzag Conversion,MEDIUM,String,https://leetcode.com/problems/zigzag-conversion,79.4,0.5160679330514855
Design HashMap,EASY,"Array, Hash Table, Linked List, Design, Hash Function",https://leetcode.com/problems/design-hashmap,79.4,0.658939347368503
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,79.4,0.4939523867784192
Daily Temperatures,MEDIUM,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/daily-temperatures,74.5,0.6736502832589849
Maximal Square,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximal-square,74.5,0.4876133314788993
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,74.5,0.6797703525274048
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,74.5,0.5577699916131443
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,74.5,0.5778282666830817
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,74.5,0.4108465766394882
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,68.6,0.6232001537472125
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,68.6,0.3584611319731286
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,68.6,0.4381458429017305
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,68.6,0.4283722142038899
Pacific Atlantic Water Flow,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/pacific-atlantic-water-flow,68.6,0.5753384405299414
Top K Frequent Words,MEDIUM,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",https://leetcode.com/problems/top-k-frequent-words,68.6,0.592771943363307
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,68.6,0.7920657527486747
LFU Cache,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lfu-cache,68.6,0.4660898637811462
