question,difficulty,topics,link,frequency,acceptance
Maximize Area of Square Hole in Grid,MEDIUM,"Array, Sorting",https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,100.0,0.3697566883188374
Minimum Value to Get Positive Step by Step Sum,EASY,"Array, Prefix Sum",https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,97.6,0.6462878389161475
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,80.5,0.6758309830109738
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,75.0,0.4232285107271765
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,75.0,0.5291958949083617
Next Greater Element I,EASY,"Array, Hash Table, Stack, Monotonic Stack",https://leetcode.com/problems/next-greater-element-i,75.0,0.7451249169659646
Maximum Profit in Job Scheduling,HARD,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling,75.0,0.5441708252506257
Happy Number,EASY,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number,75.0,0.5807271162515536
Fair Candy Swap,EASY,"Array, Hash Table, Binary Search, Sorting",https://leetcode.com/problems/fair-candy-swap,67.9,0.6328166847357979
Count Good Meals,MEDIUM,"Array, Hash Table",https://leetcode.com/problems/count-good-meals,67.9,0.3164606880510123
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,67.9,0.6861924193258928
Daily Temperatures,MEDIUM,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/daily-temperatures,67.9,0.6736502832589849
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,67.9,0.492343272648647
Maximum Score From Removing Substrings,MEDIUM,"String, Stack, Greedy",https://leetcode.com/problems/maximum-score-from-removing-substrings,58.0,0.6284543200185538
Immediate Food Delivery II,MEDIUM,Database,https://leetcode.com/problems/immediate-food-delivery-ii,58.0,0.5431590135558603
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,58.0,0.6385757214523419
K Closest Points to Origin,MEDIUM,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/k-closest-points-to-origin,58.0,0.6793952169635183
Minimum Number of Work Sessions to Finish the Tasks,MEDIUM,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,58.0,0.3374703973335672
Two City Scheduling,MEDIUM,"Array, Greedy, Sorting",https://leetcode.com/problems/two-city-scheduling,58.0,0.6769210516989099
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,58.0,0.5525960541487699
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,58.0,0.4381462083330783
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,58.0,0.6684090860904955
Subarray Sum Equals K,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sum-equals-k,58.0,0.4547627237551225
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,58.0,0.4108465766394882
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,58.0,0.452147387470624
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,58.0,0.4704085483066707
Majority Element,EASY,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element,58.0,0.6574031819588328
Maximum Length of Pair Chain,MEDIUM,"Array, Dynamic Programming, Greedy, Sorting",https://leetcode.com/problems/maximum-length-of-pair-chain,58.0,0.6087689786906313
Subsets II,MEDIUM,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets-ii,58.0,0.5950728535283255
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,58.0,0.6510208301452317
Edit Distance,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/edit-distance,58.0,0.5878986860189561
