question,difficulty,topics,link,frequency,acceptance
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,96.0,0.4521454893758596
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,89.6,0.4939527547797844
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,84.8,0.369361731848269
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,82.2,0.6510193782985645
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,76.9,0.567741907864408
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,76.9,0.4535074763823223
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,76.0,0.4526692626904781
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,75.1,0.4283722138743466
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,73.1,0.35846104860827
N-Queens,HARD,"Array, Backtracking",https://leetcode.com/problems/n-queens,73.1,0.7281704967757537
Restore IP Addresses,MEDIUM,"String, Backtracking",https://leetcode.com/problems/restore-ip-addresses,72.1,0.531583393083398
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,71.0,0.3707095131728428
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,71.0,0.7467468656021409
Word Ladder,HARD,"Hash Table, String, Breadth-First Search",https://leetcode.com/problems/word-ladder,69.8,0.4281180881873274
Sqrt(x),EASY,"Math, Binary Search",https://leetcode.com/problems/sqrtx,68.6,0.4037179644428021
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,67.4,0.5525965688982543
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,67.4,0.4814993566410409
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,66.0,0.4232282276281134
Binary Tree Maximum Path Sum,HARD,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum,64.6,0.4122427548197994
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,64.6,0.6758312948649591
Find Peak Element,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-peak-element,64.6,0.4650921486454041
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,64.6,0.5393974779242756
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,64.6,0.557769895737655
Word Break II,HARD,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization",https://leetcode.com/problems/word-break-ii,63.0,0.5364536357075469
Construct Binary Tree from Preorder and Inorder Traversal,MEDIUM,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,63.0,0.6683774773521286
Combination Sum II,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum-ii,61.4,0.5767453180420465
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,61.4,0.8066011364163758
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,61.4,0.7713286717803378
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,61.4,0.5209977684091738
Edit Distance,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/edit-distance,61.4,0.5878976197609908
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,59.6,0.4682874104872264
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,57.6,0.5778283165036205
Reverse Nodes in k-Group,HARD,"Linked List, Recursion",https://leetcode.com/problems/reverse-nodes-in-k-group,57.6,0.6304374335039493
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,57.6,0.2928012366939696
Word Break,MEDIUM,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",https://leetcode.com/problems/word-break,57.6,0.4827377619034214
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,55.5,0.4704082909337341
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,55.5,0.6950025067480458
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,55.5,0.3947919786729132
Subsets,MEDIUM,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets,53.2,0.808795565390318
Decode Ways,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/decode-ways,53.2,0.3653098286175434
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,53.2,0.7092882781909262
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,53.2,0.5291951986224571
Reorder List,MEDIUM,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/reorder-list,50.6,0.6250476843297371
Unique Binary Search Trees,MEDIUM,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/unique-binary-search-trees,50.6,0.6244520536210353
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,50.6,0.4548305143026601
Validate Binary Search Tree,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/validate-binary-search-tree,50.6,0.3438039571887417
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,50.6,0.4305773996508374
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,47.6,0.6861928580376627
Minimum Path Sum,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimum-path-sum,47.6,0.6648152266005115
Parallel Courses III,HARD,"Array, Dynamic Programming, Graph, Topological Sort",https://leetcode.com/problems/parallel-courses-iii,47.6,0.6674963944974485
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,47.6,0.4381459158602527
Surrounded Regions,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/surrounded-regions,47.6,0.4288644756244931
Sort List,MEDIUM,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",https://leetcode.com/problems/sort-list,47.6,0.618074922962942
