question,difficulty,topics,link,frequency,acceptance
Min Stack,MEDIUM,"Stack, Design",https://leetcode.com/problems/min-stack,100.0,0.5644519640254378
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,100.0,0.3693613146009669
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,97.6,0.5577699461414285
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,85.0,0.7790169330671177
Keys and Rooms,MEDIUM,"Depth-First Search, Breadth-First Search, Graph",https://leetcode.com/problems/keys-and-rooms,85.0,0.7467693609041713
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,80.5,0.358461477460099
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,80.5,0.4682884568735488
Simplify Path,MEDIUM,"String, Stack",https://leetcode.com/problems/simplify-path,80.5,0.4785459897008844
Backspace String Compare,EASY,"Two Pointers, String, Stack, Simulation",https://leetcode.com/problems/backspace-string-compare,80.5,0.4948175019000657
Form Smallest Number From Two Digit Arrays,EASY,"Array, Hash Table, Enumeration",https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,75.0,0.5433876104067776
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,75.0,0.6232009446678927
Battleships in a Board,MEDIUM,"Array, Depth-First Search, Matrix",https://leetcode.com/problems/battleships-in-a-board,75.0,0.7655988714815541
Find All Numbers Disappeared in an Array,EASY,"Array, Hash Table",https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,75.0,0.624242506767157
Longest Subarray of 1's After Deleting One Element,MEDIUM,"Array, Dynamic Programming, Sliding Window",https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,75.0,0.6923361123158723
Search a 2D Matrix,MEDIUM,"Array, Binary Search, Matrix",https://leetcode.com/problems/search-a-2d-matrix,75.0,0.522897732480179
Is Subsequence,EASY,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/is-subsequence,67.9,0.4838252320994005
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,67.9,0.4283726705667348
Minimum Difference Between Highest and Lowest of K Scores,EASY,"Array, Sliding Window, Sorting",https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,67.9,0.5858047812569633
Count Square Submatrices with All Ones,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/count-square-submatrices-with-all-ones,67.9,0.7869809146921806
Decode String,MEDIUM,"String, Stack, Recursion",https://leetcode.com/problems/decode-string,67.9,0.6115261523849739
Event Emitter,MEDIUM,,https://leetcode.com/problems/event-emitter,67.9,0.7448014383989994
Meeting Rooms II,MEDIUM,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/meeting-rooms-ii,57.9,0.5214182529017943
Squares of a Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/squares-of-a-sorted-array,57.9,0.7321918278136608
Subarray Sums Divisible by K,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sums-divisible-by-k,57.9,0.5561796146835698
Maximize Distance to Closest Person,MEDIUM,Array,https://leetcode.com/problems/maximize-distance-to-closest-person,57.9,0.4898704679927283
Department Highest Salary,MEDIUM,Database,https://leetcode.com/problems/department-highest-salary,57.9,0.5481303192598069
Isomorphic Strings,EASY,"Hash Table, String",https://leetcode.com/problems/isomorphic-strings,57.9,0.4685798726151853
Subarray Sum Equals K,MEDIUM,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sum-equals-k,57.9,0.4547627231532998
Paint House,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/paint-house,57.9,0.6373073232954967
Valid Palindrome,EASY,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome,57.9,0.5096354791717661
Find the Longest Balanced Substring of a Binary String,EASY,String,https://leetcode.com/problems/find-the-longest-balanced-substring-of-a-binary-string,57.9,0.4545059828623239
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,57.9,0.7920660124168114
