question,difficulty,topics,link,frequency,acceptance
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,100.0,0.4232287729354669
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,91.8,0.3693612966111927
Baseball Game,EASY,"Array, Stack, Simulation",https://leetcode.com/problems/baseball-game,81.2,0.7882494522276078
Minimum Cost For Tickets,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/minimum-cost-for-tickets,73.8,0.6741376633860101
Koko Eating Bananas,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/koko-eating-bananas,71.5,0.4906727505946439
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,65.7,0.6232009446678927
Validate IP Address,MEDIUM,String,https://leetcode.com/problems/validate-ip-address,65.7,0.2781752462045336
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,65.7,0.4548315520592719
Minimum Length of Anagram Concatenation,MEDIUM,"Hash Table, String, Counting",https://leetcode.com/problems/minimum-length-of-anagram-concatenation,62.0,0.3972537635513538
Find the Town Judge,EASY,"Array, Hash Table, Graph",https://leetcode.com/problems/find-the-town-judge,62.0,0.500057919960555
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,57.5,0.5209981132194718
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,57.5,0.5354076254343969
Apply Operations to Make Sum of Array Greater Than or Equal to k,MEDIUM,"Math, Greedy, Enumeration",https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,57.5,0.4338245855956792
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,57.5,0.4939526408318937
House Robber,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber,51.8,0.5230502863618359
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,51.8,0.2928029238474426
Product of Array Except Self,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/product-of-array-except-self,51.8,0.677800644455029
Partition Array Into Three Parts With Equal Sum,EASY,"Array, Greedy",https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,51.8,0.4207926806119737
Degree of an Array,EASY,"Array, Hash Table",https://leetcode.com/problems/degree-of-an-array,51.8,0.5742044514093503
Find Duplicate File in System,MEDIUM,"Array, Hash Table, String",https://leetcode.com/problems/find-duplicate-file-in-system,51.8,0.6757346336455794
Maximum Number of Vowels in a Substring of Given Length,MEDIUM,"String, Sliding Window",https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,51.8,0.6041915539250602
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,51.8,0.4704086557755227
Reverse Only Letters,EASY,"Two Pointers, String",https://leetcode.com/problems/reverse-only-letters,43.7,0.6683340514041327
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,43.7,0.3707104045760235
Sum of Digit Differences of All Pairs,MEDIUM,"Array, Hash Table, Math, Counting",https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,43.7,0.4247694418738233
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,43.7,0.7092889662302778
Minimum Number of Operations to Make Word K-Periodic,MEDIUM,"Hash Table, String, Counting",https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,43.7,0.5971769815418024
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,43.7,0.3947918488639545
Race Car,HARD,Dynamic Programming,https://leetcode.com/problems/race-car,43.7,0.4412431163672474
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,43.7,0.4682884568735488
Find All Anagrams in a String,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/find-all-anagrams-in-a-string,43.7,0.5220068023059492
Valid Palindrome,EASY,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome,43.7,0.5096354791717661
Consecutive Numbers,MEDIUM,Database,https://leetcode.com/problems/consecutive-numbers,43.7,0.4609731212715894
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,43.7,0.5525963622704052
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,43.7,0.5393980917622436
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,43.7,0.6797702368478369
Maximum Repeating Substring,EASY,"String, Dynamic Programming, String Matching",https://leetcode.com/problems/maximum-repeating-substring,43.7,0.3962144463908421
Number of Subsequences That Satisfy the Given Sum Condition,MEDIUM,"Array, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,43.7,0.4358411860032411
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,43.7,0.3584614444825314
Longest Repeating Character Replacement,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-repeating-character-replacement,43.7,0.5721174518389321
Minimum Number of Operations to Satisfy Conditions,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,43.7,0.4063934543205765
