question,difficulty,topics,link,frequency,acceptance
Length of Longest V-Shaped Diagonal Segment,HARD,"Array, Dynamic Programming, Memoization, Matrix",https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,100.0,0.3371486969851814
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,96.5,0.5577699721092808
Split the Array,EASY,"Array, Hash Table, Counting",https://leetcode.com/problems/split-the-array,93.8,0.5922734052667847
Rotating the Box,MEDIUM,"Array, Two Pointers, Matrix",https://leetcode.com/problems/rotating-the-box,93.8,0.7909813050714205
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,87.4,0.3707096562666586
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,85.5,0.5525961777147723
Create Target Array in the Given Order,EASY,"Array, Simulation",https://leetcode.com/problems/create-target-array-in-the-given-order,85.5,0.8623489961219972
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,83.4,0.3693616949980366
Maximum Number of Events That Can Be Attended,MEDIUM,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,83.4,0.3292198182552009
Match Alphanumerical Pattern in Matrix I,MEDIUM,"Array, Hash Table, String, Matrix",https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,81.1,0.6389402341343191
Odd String Difference,EASY,"Array, Hash Table, String",https://leetcode.com/problems/odd-string-difference,81.1,0.6106046482233423
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,81.1,0.7092883620495999
Earliest Possible Day of Full Bloom,HARD,"Array, Greedy, Sorting",https://leetcode.com/problems/earliest-possible-day-of-full-bloom,81.1,0.7113565236159574
Divisor Game,EASY,"Math, Dynamic Programming, Brainteaser, Game Theory",https://leetcode.com/problems/divisor-game,81.1,0.7039133843993194
Block Placement Queries,HARD,"Array, Binary Search, Binary Indexed Tree, Segment Tree",https://leetcode.com/problems/block-placement-queries,81.1,0.168902023187088
Two Furthest Houses With Different Colors,EASY,"Array, Greedy",https://leetcode.com/problems/two-furthest-houses-with-different-colors,81.1,0.6557574742483879
Count Nodes With the Highest Score,MEDIUM,"Array, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/count-nodes-with-the-highest-score,81.1,0.5126480395538692
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,75.8,0.4521462265150519
