question,difficulty,topics,link,frequency,acceptance
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,100.0,0.3693617722218248
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,96.3,0.4521461104192241
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,86.5,0.4232284183506468
Max Stack,HARD,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set",https://leetcode.com/problems/max-stack,84.9,0.4553177840865414
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,81.5,0.493952607579036
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,81.5,0.6510195479297859
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,79.5,0.552596402548375
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,77.4,0.5577699653967975
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,77.4,0.3584611527784486
Word Break,MEDIUM,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",https://leetcode.com/problems/word-break,77.4,0.4827375533449676
Divide Intervals Into Minimum Number of Groups,MEDIUM,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,77.4,0.6365584755914945
Minimum Number of Operations to Make Arrays Similar,HARD,"Array, Greedy, Sorting",https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar,75.1,0.6045060796312485
Count Good Triplets in an Array,HARD,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",https://leetcode.com/problems/count-good-triplets-in-an-array,75.1,0.6598252920080578
Minimum Operations to Make Array Equal II,MEDIUM,"Array, Math, Greedy",https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,75.1,0.3244469082296024
Maximum Number of Tasks You Can Assign,HARD,"Array, Two Pointers, Binary Search, Greedy, Queue, Sorting, Monotonic Queue",https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,75.1,0.506049588007545
Middle of the Linked List,EASY,"Linked List, Two Pointers",https://leetcode.com/problems/middle-of-the-linked-list,75.1,0.8058168613591674
Number of Ways to Separate Numbers,HARD,"String, Dynamic Programming, Suffix Array",https://leetcode.com/problems/number-of-ways-to-separate-numbers,75.1,0.2103362045012503
The Winner University,EASY,Database,https://leetcode.com/problems/the-winner-university,75.1,0.7530181086519114
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,75.1,0.7713286717803378
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,72.6,0.6797699941173363
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,72.6,0.4283721126430053
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,72.6,0.7092882545499255
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,72.6,0.6231995235830335
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,72.6,0.5393976057408939
Longest Consecutive Sequence,MEDIUM,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence,69.8,0.4704083124278749
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,69.8,0.675831142046278
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,66.5,0.6227676961475801
Coin Change,MEDIUM,"Array, Dynamic Programming, Breadth-First Search",https://leetcode.com/problems/coin-change,66.5,0.4649545396006711
Binary Tree Zigzag Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,66.5,0.616828546906163
Move Zeroes,EASY,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes,66.5,0.6280402265707764
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,66.5,0.7467467958581016
Rotate Array,MEDIUM,"Array, Math, Two Pointers",https://leetcode.com/problems/rotate-array,62.8,0.4302138037383672
