question,difficulty,topics,link,frequency,acceptance
Shortest and Lexicographically Smallest Beautiful String,MEDIUM,"String, Sliding Window",https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,100.0,0.3966286564204264
Verbal Arithmetic Puzzle,HARD,"Array, Math, String, Backtracking",https://leetcode.com/problems/verbal-arithmetic-puzzle,86.0,0.3477800583342335
Find the Safest Path in a Grid,MEDIUM,"Array, Binary Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix",https://leetcode.com/problems/find-the-safest-path-in-a-grid,70.1,0.4839726918075422
Minimizing Array After Replacing Pairs With Their Product,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product,70.1,0.3992322456813819
Maximum Number of Weeks for Which You Can Work,MEDIUM,"Array, Greedy",https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,70.1,0.4134942369616901
Count and Say,MEDIUM,String,https://leetcode.com/problems/count-and-say,60.8,0.6050669323131879
Best Time to Buy and Sell Stock II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,60.8,0.6950040034164668
Water and Jug Problem,MEDIUM,"Math, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/water-and-jug-problem,60.8,0.4308700875472949
Product of Array Except Self,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/product-of-array-except-self,60.8,0.6778006914594543
Rotate String,EASY,"String, String Matching",https://leetcode.com/problems/rotate-string,60.8,0.6393953917504719
Merge Strings Alternately,EASY,"Two Pointers, String",https://leetcode.com/problems/merge-strings-alternately,60.8,0.8222980560828816
Kth Largest Element in a Stream,EASY,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream",https://leetcode.com/problems/kth-largest-element-in-a-stream,60.8,0.5985294841468605
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,60.8,0.539398836789508
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,60.8,0.3707109068202742
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,60.8,0.4548317594843367
