question,difficulty,topics,link,frequency,acceptance
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,100.0,0.5499189489424546
Flatten Nested List Iterator,MEDIUM,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",https://leetcode.com/problems/flatten-nested-list-iterator,96.3,0.6522839525510098
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,96.3,0.6510199452828925
Design Twitter,MEDIUM,"Hash Table, Linked List, Design, Heap (Priority Queue)",https://leetcode.com/problems/design-twitter,94.2,0.4265238051053148
Tweet Counts Per Frequency,MEDIUM,"Hash Table, Binary Search, Design, Sorting, Ordered Set",https://leetcode.com/problems/tweet-counts-per-frequency,94.2,0.4527819680101729
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,94.2,0.4939523867784192
Implement Trie (Prefix Tree),MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/implement-trie-prefix-tree,94.2,0.6793476066937868
Best Meeting Point,HARD,"Array, Math, Sorting, Matrix",https://leetcode.com/problems/best-meeting-point,91.9,0.6125143892983315
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,91.9,0.4521466908978712
Investments in 2016,MEDIUM,Database,https://leetcode.com/problems/investments-in-2016,91.9,0.5013112456137093
Customer Placing the Largest Number of Orders,EASY,Database,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,89.4,0.6436460880860977
Minimum Genetic Mutation,MEDIUM,"Hash Table, String, Breadth-First Search",https://leetcode.com/problems/minimum-genetic-mutation,89.4,0.5548542323412008
Minimum Number of Steps to Make Two Strings Anagram,MEDIUM,"Hash Table, String, Counting",https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,89.4,0.8215204393310427
Validate IP Address,MEDIUM,String,https://leetcode.com/problems/validate-ip-address,89.4,0.2781752462045336
