question,difficulty,topics,link,frequency,acceptance
Majority Element,EASY,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element,100.0,0.6574032703498719
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,97.6,0.6232026196419465
Graph Valid Tree,MEDIUM,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/graph-valid-tree,97.6,0.4933429916993301
Verify Preorder Sequence in Binary Search Tree,MEDIUM,"Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree",https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,97.6,0.5131903339051795
Flatten 2D Vector,MEDIUM,"Array, Two Pointers, Design, Iterator",https://leetcode.com/problems/flatten-2d-vector,97.6,0.5013561180399766
Sliding Window Maximum,HARD,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum,97.6,0.4760399199263972
Majority Element II,MEDIUM,"Array, Hash Table, Sorting, Counting",https://leetcode.com/problems/majority-element-ii,97.6,0.5438049308651387
Course Schedule II,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule-ii,97.6,0.5342362900878632
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,97.6,0.4923463473813975
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,97.6,0.7920675422832083
Median of Two Sorted Arrays,HARD,"Array, Binary Search, Divide and Conquer",https://leetcode.com/problems/median-of-two-sorted-arrays,97.6,0.4381476917231254
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,97.6,0.4232293457638538
Excel Sheet Column Title,EASY,"Math, String",https://leetcode.com/problems/excel-sheet-column-title,97.6,0.43570576633851
Min Stack,MEDIUM,"Stack, Design",https://leetcode.com/problems/min-stack,97.6,0.5644529500614766
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,97.6,0.4521518822108895
Valid Palindrome,EASY,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome,97.6,0.5096370029735856
Convert Sorted List to Binary Search Tree,MEDIUM,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,97.6,0.6445924686121641
N-Queens II,HARD,Backtracking,https://leetcode.com/problems/n-queens-ii,97.6,0.7672955295381376
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,97.6,0.6510223474767689
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,97.6,0.7713302975237624
Shortest Distance from All Buildings,HARD,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-distance-from-all-buildings,97.6,0.4437281808440773
