question,difficulty,topics,link,frequency,acceptance
Maximum Spending After Buying Items,HARD,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix",https://leetcode.com/problems/maximum-spending-after-buying-items,100.0,0.599903432534457
Split the Array to Make Coprime Products,HARD,"Array, Hash Table, Math, Number Theory",https://leetcode.com/problems/split-the-array-to-make-coprime-products,100.0,0.280238379022646
Bitwise OR of All Subsequence Sums,MEDIUM,"Array, Math, Bit Manipulation, Brainteaser, Prefix Sum",https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,100.0,0.6488039763901833
Shortest Cycle in a Graph,HARD,"Breadth-First Search, Graph",https://leetcode.com/problems/shortest-cycle-in-a-graph,100.0,0.3740779605567729
Number of Ways to Divide a Long Corridor,HARD,"Math, String, Dynamic Programming",https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,100.0,0.4880803696348013
Count the Hidden Sequences,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/count-the-hidden-sequences,94.3,0.5672918186355435
Find and Replace Pattern,MEDIUM,"Array, Hash Table, String",https://leetcode.com/problems/find-and-replace-pattern,82.2,0.7681583405018056
Total Cost to Hire K Workers,MEDIUM,"Array, Two Pointers, Heap (Priority Queue), Simulation",https://leetcode.com/problems/total-cost-to-hire-k-workers,82.2,0.4310689755842719
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,76.5,0.3786948581341589
Count Zero Request Servers,MEDIUM,"Array, Hash Table, Sliding Window, Sorting",https://leetcode.com/problems/count-zero-request-servers,69.2,0.341212744090442
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,69.2,0.410847166412329
Frog Jump,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/frog-jump,58.9,0.4655846450889997
Optimal Account Balancing,HARD,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/optimal-account-balancing,58.9,0.4993834011592058
Unique Paths,MEDIUM,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/unique-paths,58.9,0.6577290437952823
Largest Rectangle in Histogram,HARD,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/largest-rectangle-in-histogram,58.9,0.4737761181498828
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,58.9,0.3707106312873585
LFU Cache,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lfu-cache,58.9,0.4660914719272537
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,58.9,0.6232012377009197
Self Crossing,HARD,"Array, Math, Geometry",https://leetcode.com/problems/self-crossing,58.9,0.3211288425469689
Unique Paths II,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/unique-paths-ii,58.9,0.4315430597653034
Jump Game II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game-ii,58.9,0.4150341471117889
Two Sum II - Input Array Is Sorted,MEDIUM,"Array, Two Pointers, Binary Search",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,58.9,0.6340229223902094
Snakes and Ladders,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/snakes-and-ladders,58.9,0.4779536693986003
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,58.9,0.5209982621027541
