question,difficulty,topics,link,frequency,acceptance
Zigzag Conversion,MEDIUM,String,https://leetcode.com/problems/zigzag-conversion,100.0,0.516106229324453
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,84.5,0.651086356034693
Reverse Nodes in Even Length Groups,MEDIUM,Linked List,https://leetcode.com/problems/reverse-nodes-in-even-length-groups,82.6,0.6105335755618355
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,72.5,0.4535435822395003
Bulls and Cows,MEDIUM,"Hash Table, String, Counting",https://leetcode.com/problems/bulls-and-cows,68.9,0.5138771783652719
Fraction Addition and Subtraction,MEDIUM,"Math, String, Simulation",https://leetcode.com/problems/fraction-addition-and-subtraction,68.9,0.6614505626107133
Remove K Digits,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-k-digits,64.5,0.3494500561948273
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,58.8,0.5778594130677152
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,58.8,0.7093182554988369
Reverse Words in a String,MEDIUM,"Two Pointers, String",https://leetcode.com/problems/reverse-words-in-a-string,58.8,0.5192721628620846
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,50.8,0.3707497596929032
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,50.8,0.5526329995457592
Add Two Numbers,MEDIUM,"Linked List, Math, Recursion",https://leetcode.com/problems/add-two-numbers,50.8,0.4623055426113341
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,50.8,0.6386139867557035
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,50.8,0.7921057307459562
Reverse Nodes in k-Group,HARD,"Linked List, Recursion",https://leetcode.com/problems/reverse-nodes-in-k-group,50.8,0.6305056992681838
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,50.8,0.3585054411256428
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,50.8,0.6758906413159929
